Time,FT1,FT2,FT3,FT4,FT5,FT6
11:01:07:37047,0,0,0,0,0,0
11:01:07:42186,0,0,0,0,0,0
11:01:07:47702,0,0,0,0,0,0
11:01:07:53267,0,0,0,0,0,0
11:01:07:58421,0,0,0,0,0,0
11:01:07:63977,0,0,0,0,0,0
11:01:07:69541,0,0,0,0,0,0
11:01:07:74622,0,0,0,0,0,0
11:01:07:80172,0,0,0,0,0,0
11:01:07:85751,0,0,0,0,0,0
11:01:07:90903,0,0,0,0,0,0
11:01:07:96472,0,0,0,0,0,0
11:01:07:102043,0,0,0,0,0,0
11:01:07:107607,0,0,0,0,0,0
11:01:07:113179,0,0,0,0,0,0
11:01:07:118254,0,0,0,0,0,0
11:01:07:123818,0,0,0,0,0,0
11:01:07:129443,0,0,0,0,0,0
11:01:07:134899,0,0,0,0,0,0
11:01:07:139982,0,0,0,0,0,0
11:01:07:145063,0,0,0,0,0,0
11:01:07:150186,0,0,0,0,0,0
11:01:07:155269,0,0,0,0,0,0
11:01:07:160398,0,0,0,0,0,0
11:01:07:165518,0,0,0,0,0,0
11:01:07:170659,0,0,0,0,0,0
11:01:07:175767,0,0,0,0,0,0
11:01:07:180846,0,0,0,0,0,0
11:01:07:185920,0,0,0,0,0,0
11:01:07:190989,0,0,0,0,0,0
11:01:07:196055,0,0,0,0,0,0
11:01:07:201198,0,0,0,0,0,0
11:01:07:206424,0,0,0,0,0,0
11:01:07:211652,0,0,0,0,0,0
11:01:07:216802,0,0,0,0,0,0
11:01:07:221896,0,0,0,0,0,0
11:01:07:227123,0,0,0,0,0,0
11:01:07:232363,0,0,0,0,0,0
11:01:07:237597,0,0,0,0,0,0
11:01:07:242781,0,0,0,0,0,0
11:01:07:247962,0,0,0,0,0,0
11:01:07:253560,0,0,0,0,0,0
11:01:07:258636,0,0,0,0,0,0
11:01:07:264250,0,0,0,0,0,0
11:01:07:269328,0,0,0,0,0,0
11:01:07:274593,0,0,0,0,0,0
11:01:07:280188,0,0,0,0,0,0
11:01:07:285346,0,0,0,0,0,0
11:01:07:290897,0,0,0,0,0,0
11:01:07:296531,0,0,0,0,0,0
11:01:07:302075,0,0,0,0,0,0
11:01:07:307172,0,0,0,0,0,0
11:01:07:312747,0,0,0,0,0,0
11:01:07:318381,0,0,0,0,0,0
11:01:07:324016,0,0,0,0,0,0
11:01:07:329653,0,0,0,0,0,0
11:01:07:335038,0,0,0,0,0,0
11:01:07:340195,0,0,0,0,0,0
11:01:07:345354,0,0,0,0,0,0
11:01:07:350515,0,0,0,0,0,0
11:01:07:356024,0,0,0,0,0,0
11:01:07:361185,0,0,0,0,0,0
11:01:07:366262,0,0,0,0,0,0
11:01:07:371737,0,0,0,0,0,0
11:01:07:376906,0,0,0,0,0,0
11:01:07:382536,0,0,0,0,0,0
11:01:07:388166,0,0,0,0,0,0
11:01:07:393751,0,0,0,0,0,0
11:01:07:398917,0,0,0,0,0,0
11:01:07:404171,0,0,0,0,0,0
11:01:07:409766,0,0,0,0,0,0
11:01:07:415395,0,0,0,0,0,0
11:01:07:420523,0,0,0,0,0,0
11:01:07:425694,0,0,0,0,0,0
11:01:07:430854,0,0,0,0,0,0
11:01:07:435934,0,0,0,0,0,0
11:01:07:441094,0,0,0,0,0,0
11:01:07:446247,0,0,0,0,0,0
11:01:07:451420,0,0,0,0,0,0
11:01:07:456507,0,0,0,0,0,0
11:01:07:461635,0,0,0,0,0,0
11:01:07:466793,-0.031,-0.196,-0.124,0.004,-0.001,0.001
11:01:07:471924,0.052,-0.117,0.141,0.003,0,0
11:01:07:477076,0.033,-0.069,0.094,0.002,0.001,0
11:01:07:482223,0.028,-0.025,-0.025,0.002,0.001,0
11:01:07:487383,0.072,0.006,-0.249,0.001,0.002,0.002
11:01:07:492553,0.1,-0.003,-0.238,0.001,0.002,0.002
11:01:07:497793,0.11,-0.017,-0.089,0.001,0.002,0
11:01:07:502961,0.098,-0.017,0.009,0.001,0.002,0
11:01:07:508064,0.084,-0.007,0.06,0,0.002,-0.001
11:01:07:513251,0.092,-0.005,0.047,0,0.003,0
11:01:07:518400,0.122,-0.014,0.017,0,0.003,0
11:01:07:523474,0.145,-0.026,-0.069,0.001,0.003,0.001
11:01:07:528625,0.158,-0.022,-0.211,0.002,0.003,0.002
11:01:07:533763,0.19,0.013,-0.476,0.002,0.003,0.003
11:01:07:538922,0.221,0.045,-0.557,0.002,0.004,0.004
11:01:07:544078,0.254,0.073,-0.403,0.001,0.004,0.003
11:01:07:549234,0.256,0.064,-0.202,0.001,0.004,0.001
11:01:07:554372,0.243,0.021,-0.022,0.001,0.003,0
11:01:07:559446,0.236,-0.013,-0.074,0.002,0.003,0.001
11:01:07:564603,0.23,-0.013,-0.151,0.002,0.003,0.002
11:01:07:569711,0.214,0.002,-0.202,0.001,0.003,0.003
11:01:07:574877,0.173,0.027,-0.23,0.001,0.003,0.002
11:01:07:580042,0.132,0.024,-0.232,0.001,0.002,0.002
11:01:07:585238,0.116,0.001,-0.195,0.001,0.001,0.001
