Time,FT1,FT2,FT3,FT4,FT5,FT6
10:58:11:240184,0,0,0,0,0,0
10:58:11:245454,0,0,0,0,0,0
10:58:11:250729,0,0,0,0,0,0
10:58:11:256024,0,0,0,0,0,0
10:58:11:261800,0,0,0,0,0,0
10:58:11:267328,0,0,0,0,0,0
10:58:11:272888,0,0,0,0,0,0
10:58:11:278013,0,0,0,0,0,0
10:58:11:283633,0,0,0,0,0,0
10:58:11:288814,0,0,0,0,0,0
10:58:11:294099,0,0,0,0,0,0
10:58:11:299532,0,0,0,0,0,0
10:58:11:304708,0,0,0,0,0,0
10:58:11:309808,0,0,0,0,0,0
10:58:11:315448,0,0,0,0,0,0
10:58:11:320523,0,0,0,0,0,0
10:58:11:326112,0,0,0,0,0,0
10:58:11:331380,0,0,0,0,0,0
10:58:11:336990,0,0,0,0,0,0
10:58:11:342088,0,0,0,0,0,0
10:58:11:347172,0,0,0,0,0,0
10:58:11:352255,0,0,0,0,0,0
10:58:11:357337,0,0,0,0,0,0
10:58:11:362568,0,0,0,0,0,0
10:58:11:367713,0,0,0,0,0,0
10:58:11:372835,0,0,0,0,0,0
10:58:11:377915,0,0,0,0,0,0
10:58:11:383004,0,0,0,0,0,0
10:58:11:388067,0,0,0,0,0,0
10:58:11:393331,0,0,0,0,0,0
10:58:11:398399,0,0,0,0,0,0
10:58:11:403888,0,0,0,0,0,0
10:58:11:409549,0,0,0,0,0,0
10:58:11:414796,0,0,0,0,0,0
10:58:11:420187,0,0,0,0,0,0
10:58:11:425834,0,0,0,0,0,0
10:58:11:431465,0,0,0,0,0,0
10:58:11:436614,0,0,0,0,0,0
10:58:11:441720,0,0,0,0,0,0
10:58:11:446806,0,0,0,0,0,0
10:58:11:451957,0,0,0,0,0,0
10:58:11:457076,0,0,0,0,0,0
10:58:11:462174,0,0,0,0,0,0
10:58:11:467323,0,0,0,0,0,0
10:58:11:472506,0,0,0,0,0,0
10:58:11:477714,0,0,0,0,0,0
10:58:11:483156,0,0,0,0,0,0
10:58:11:488326,0,0,0,0,0,0
10:58:11:493465,0.024,0.051,0.136,0,0,-0.001
10:58:11:498613,0.039,0.085,-0.132,0,0,0
10:58:11:503694,0.089,0.124,-0.465,0,0,0.004
10:58:11:508801,0.112,0.128,-0.48,-0.001,0,0.004
10:58:11:513913,0.094,0.103,-0.289,-0.002,0,0.002
10:58:11:519024,0.063,0.086,-0.221,-0.002,0,0.001
10:58:11:524165,0.035,0.082,-0.311,-0.002,0,0.001
10:58:11:529240,0.038,0.082,-0.316,-0.002,0,0.001
10:58:11:534365,0.042,0.074,-0.164,-0.003,0,0
10:58:11:539506,0.046,0.071,0.018,-0.004,0,0
10:58:11:544661,0.06,0.107,0.087,-0.004,0.001,0
10:58:11:549815,0.084,0.178,-0.119,-0.004,0.001,0
10:58:11:555011,0.099,0.212,-0.264,-0.003,0.001,0.001
10:58:11:560182,0.115,0.219,-0.311,-0.003,0.001,0.001
10:58:11:565261,0.115,0.2,-0.16,-0.004,0.001,0
10:58:11:570342,0.103,0.194,-0.023,-0.004,0.001,-0.001
10:58:11:575419,0.073,0.189,0.13,-0.005,0.001,-0.003
10:58:11:580554,0.05,0.179,0.17,-0.006,0.001,-0.003
10:58:11:585634,0.021,0.162,0.162,-0.006,0.001,-0.004
10:58:11:590809,0.01,0.164,0.148,-0.006,0.001,-0.004
10:58:11:595961,0.012,0.188,0.148,-0.006,0,-0.003
10:58:11:601199,0.027,0.205,0.107,-0.005,0.001,-0.002
10:58:11:606359,0.035,0.203,0.003,-0.005,0.002,-0.002
10:58:11:611436,0.046,0.191,-0.24,-0.003,0.002,0
10:58:11:616608,0.057,0.182,-0.361,-0.002,0.002,0.001
10:58:11:621704,0.072,0.16,-0.343,-0.001,0.002,0.002
10:58:11:626918,0.074,0.14,-0.236,-0.002,0.001,0.002
10:58:11:632088,0.068,0.117,-0.122,-0.002,0,0.001
10:58:11:637252,0.067,0.112,-0.13,-0.002,0,0.001
10:58:11:642329,0.077,0.111,-0.179,-0.001,0,0.001
10:58:11:647403,0.077,0.114,-0.185,-0.001,0,0.001
10:58:11:652585,0.059,0.12,-0.195,-0.001,-0.001,0.001
10:58:11:657744,0.007,0.142,-0.261,-0.002,-0.001,0.002
10:58:11:662908,-0.026,0.162,-0.3,-0.002,0,0.002
10:58:11:668120,-0.041,0.183,-0.272,-0.002,0,0.001
10:58:11:673197,-0.022,0.187,-0.209,-0.002,0,0
10:58:11:678324,0.019,0.177,-0.134,-0.001,0,0
10:58:11:683404,0.039,0.158,-0.14,-0.001,0,0
10:58:11:688570,0.038,0.143,-0.169,-0.001,0,0
10:58:11:693681,0.039,0.129,-0.191,-0.001,0.001,0
10:58:11:698844,0.048,0.131,-0.171,-0.002,0.001,0
10:58:11:703992,0.057,0.157,-0.111,-0.003,0,0
10:58:11:709180,0.033,0.19,-0.094,-0.004,0,0
10:58:11:714331,-0.004,0.202,-0.117,-0.005,0,0
10:58:11:719405,-0.073,0.2,-0.141,-0.005,0,0
10:58:11:724569,-0.105,0.2,-0.134,-0.006,0,0
10:58:11:729646,-0.116,0.223,-0.149,-0.006,-0.001,0
10:58:11:734818,-0.111,0.253,-0.203,-0.006,-0.001,0
10:58:11:739983,-0.112,0.303,-0.271,-0.006,-0.002,0
10:58:11:745058,-0.118,0.329,-0.245,-0.007,-0.002,0
10:58:11:750132,-0.106,0.349,-0.115,-0.007,-0.003,0
10:58:11:755204,-0.076,0.331,0.01,-0.008,-0.004,0
10:58:11:760365,-0.081,0.297,0.073,-0.008,-0.005,0
10:58:11:765441,-0.118,0.261,0.122,-0.008,-0.005,0
10:58:11:770530,-0.192,0.237,0.097,-0.008,-0.005,-0.001
10:58:11:775682,-0.206,0.26,-0.105,-0.006,-0.005,0
10:58:11:780829,-0.178,0.274,-0.237,-0.005,-0.004,0.001
10:58:11:785930,-0.138,0.251,-0.196,-0.004,-0.003,0.001
10:58:11:791094,-0.125,0.212,-0.031,-0.004,-0.003,0
10:58:11:796241,-0.099,0.165,0.107,-0.004,-0.002,0
10:58:11:801314,-0.051,0.161,-0.103,-0.002,-0.002,0
10:58:11:806484,-0.031,0.165,-0.307,-0.002,-0.002,0.002
10:58:11:811644,-0.056,0.147,-0.397,-0.001,-0.002,0.002
10:58:11:816804,-0.101,0.127,-0.293,-0.001,-0.002,0
10:58:11:821971,-0.171,0.13,-0.145,-0.002,-0.002,-0.001
10:58:11:827137,-0.205,0.163,-0.175,-0.003,-0.002,0
10:58:11:832299,-0.24,0.221,-0.355,-0.004,-0.002,0
10:58:11:837411,-0.255,0.234,-0.425,-0.005,-0.002,0.001
10:58:11:842926,-0.253,0.2,-0.298,-0.004,-0.003,0
10:58:11:848097,-0.206,0.139,-0.012,-0.004,-0.004,-0.001
10:58:11:853384,-0.154,0.108,0.1,-0.003,-0.005,-0.002
10:58:11:858548,-0.086,0.092,0.015,-0.002,-0.005,-0.001
10:58:11:863624,-0.072,0.1,-0.154,-0.002,-0.004,0
10:58:11:868727,-0.097,0.125,-0.36,-0.001,-0.003,0
10:58:11:873797,-0.108,0.137,-0.364,0,-0.002,0
10:58:11:878965,-0.083,0.129,-0.292,0,-0.001,0
10:58:11:884336,-0.036,0.1,-0.217,0,-0.001,0
10:58:11:889452,-0.037,0.081,-0.281,0,-0.001,0.001
10:58:11:894617,-0.059,0.085,-0.369,0,-0.002,0.001
10:58:11:899899,-0.083,0.094,-0.45,0,-0.003,0.002
10:58:11:905451,-0.091,0.087,-0.429,0,-0.003,0.001
10:58:11:910929,-0.13,0.065,-0.321,0,-0.004,0
10:58:11:916061,-0.216,0.068,-0.225,0,-0.003,-0.001
10:58:11:921149,-0.269,0.091,-0.202,-0.001,-0.002,-0.001
10:58:11:926476,-0.284,0.119,-0.206,-0.002,-0.002,0
10:58:11:931630,-0.217,0.104,-0.191,-0.002,-0.003,0
10:58:11:936797,-0.162,0.084,-0.156,-0.002,-0.004,0
10:58:11:942057,-0.116,0.078,-0.122,-0.001,-0.005,0
10:58:11:947314,-0.115,0.091,-0.15,-0.001,-0.005,0
10:58:11:952659,-0.138,0.103,-0.255,-0.002,-0.004,0
10:58:11:957905,-0.162,0.09,-0.31,-0.002,-0.004,0
10:58:11:963482,-0.162,0.09,-0.31,-0.002,-0.004,0
10:58:11:968567,-0.225,0.104,-0.273,-0.003,-0.003,-0.001
10:58:11:973739,-0.201,0.172,-0.345,-0.003,-0.003,0
10:58:11:979257,-0.168,0.193,-0.414,-0.003,-0.003,0
10:58:11:984342,-0.131,0.159,-0.393,-0.003,-0.002,0
10:58:11:989442,-0.132,0.094,-0.168,-0.003,-0.002,-0.001
10:58:11:994821,-0.143,0.073,0.014,-0.003,-0.001,-0.002
10:58:12:108,-0.148,0.091,0.144,-0.003,-0.001,-0.004
10:58:12:5202,-0.116,0.144,-0.046,-0.002,-0.001,-0.002
10:58:12:10347,-0.071,0.18,-0.325,-0.002,-0.001,0
10:58:12:15583,-0.023,0.207,-0.605,-0.002,-0.001,0.002
10:58:12:20683,0.01,0.216,-0.75,-0.002,0,0.004
10:58:12:25859,-0.013,0.19,-0.477,-0.002,0,0.002
10:58:12:30992,-0.04,0.166,-0.23,-0.002,0,0
10:58:12:36155,-0.067,0.138,-0.048,-0.002,0,-0.001
10:58:12:41241,-0.081,0.11,-0.101,-0.002,0,-0.001
10:58:12:46349,-0.081,0.094,-0.179,-0.002,-0.001,-0.001
10:58:12:51443,-0.049,0.098,-0.333,-0.002,-0.001,0
10:58:12:56607,-0.02,0.129,-0.492,-0.001,-0.001,0.001
10:58:12:61783,-0.016,0.19,-0.759,-0.001,-0.002,0.003
10:58:12:66945,-0.05,0.215,-0.841,-0.002,-0.002,0.003
10:58:12:72109,-0.106,0.204,-0.668,-0.003,-0.001,0.001
10:58:12:77186,-0.113,0.16,-0.27,-0.004,-0.001,-0.001
10:58:12:82269,-0.097,0.146,-0.091,-0.005,-0.001,-0.002
10:58:12:87374,-0.082,0.178,-0.174,-0.004,-0.001,-0.001
10:58:12:92526,-0.083,0.216,-0.37,-0.003,-0.002,0
10:58:12:97687,-0.091,0.221,-0.489,-0.003,-0.002,0.001
10:58:12:102848,-0.094,0.171,-0.353,-0.003,-0.001,0
10:58:12:107970,-0.094,0.079,-0.08,-0.003,-0.001,-0.001
10:58:12:113146,-0.09,0.061,-0.039,-0.003,0,-0.001
10:58:12:118307,-0.073,0.113,-0.151,-0.003,0,0
10:58:12:123475,-0.052,0.174,-0.146,-0.003,-0.001,0
10:58:12:128638,-0.05,0.184,-0.042,-0.003,-0.001,-0.002
10:58:12:133809,-0.081,0.173,0.043,-0.003,0,-0.003
10:58:12:138972,-0.112,0.169,-0.02,-0.003,0,-0.003
10:58:12:144142,-0.131,0.171,-0.196,-0.003,0,-0.001
