Time,FT1,FT2,FT3,FT4,FT5,FT6
10:59:21:747008,0,0,0,0,0,0
10:59:21:752230,0,0,0,0,0,0
10:59:21:757893,0,0,0,0,0,0
10:59:21:763042,0,0,0,0,0,0
10:59:21:768231,0,0,0,0,0,0
10:59:21:773372,0,0,0,0,0,0
10:59:21:778528,0,0,0,0,0,0
10:59:21:784116,0,0,0,0,0,0
10:59:21:789704,0,0,0,0,0,0
10:59:21:794857,0,0,0,0,0,0
10:59:21:800172,0,0,0,0,0,0
10:59:21:805776,0,0,0,0,0,0
10:59:21:811146,0,0,0,0,0,0
10:59:21:816720,0,0,0,0,0,0
10:59:21:822318,0,0,0,0,0,0
10:59:21:827444,0,0,0,0,0,0
10:59:21:833007,0,0,0,0,0,0
10:59:21:838162,0,0,0,0,0,0
10:59:21:843312,0,0,0,0,0,0
10:59:21:848462,0,0,0,0,0,0
10:59:21:853548,0,0,0,0,0,0
10:59:21:858630,0,0,0,0,0,0
10:59:21:863710,0,0,0,0,0,0
10:59:21:869258,0,0,0,0,0,0
10:59:21:874382,0,0,0,0,0,0
10:59:21:879468,0,0,0,0,0,0
10:59:21:884549,0,0,0,0,0,0
10:59:21:889615,0,0,0,0,0,0
10:59:21:894683,0,0,0,0,0,0
10:59:21:899890,0,0,0,0,0,0
10:59:21:905139,0,0,0,0,0,0
10:59:21:910395,0,0,0,0,0,0
10:59:21:916013,0,0,0,0,0,0
10:59:21:921268,0,0,0,0,0,0
10:59:21:926510,0,0,0,0,0,0
10:59:21:931932,0,0,0,0,0,0
10:59:21:937579,0,0,0,0,0,0
10:59:21:942841,0,0,0,0,0,0
10:59:21:948015,0,0,0,0,0,0
10:59:21:953164,0,0,0,0,0,0
10:59:21:958267,0,0,0,0,0,0
10:59:21:963846,0,0,0,0,0,0
10:59:21:968979,0,0,0,0,0,0
10:59:21:974131,0,0,0,0,0,0
10:59:21:979291,0,0,0,0,0,0
10:59:21:984457,0,0,0,0,0,0
10:59:21:989643,0,0,0,0,0,0
10:59:21:994791,0,0,0,0,0,0
10:59:22:246,0,0,0,0,0,0
10:59:22:5602,-0.003,0.057,0.05,0,0,0
10:59:22:10753,0.022,0.102,0.092,-0.002,0,-0.001
10:59:22:16314,0.035,0.116,0.018,-0.002,0,0
10:59:22:21473,0.043,0.121,-0.054,-0.001,0.001,0
10:59:22:26628,0.029,0.104,-0.012,-0.002,0.001,0
10:59:22:31797,0.011,0.088,0.037,-0.002,0.001,0
10:59:22:36964,-0.012,0.07,0.083,-0.002,0.001,0
10:59:22:42054,-0.029,0.061,0.112,-0.002,0.001,-0.001
10:59:22:47210,-0.058,0.054,0.122,-0.001,0,-0.001
