Time,FT1,FT2,FT3,FT4,FT5,FT6
11:07:31:422798,0,0,0,0,0,0
11:07:31:427917,0,0,0,0,0,0
11:07:31:433038,0,0,0,0,0,0
11:07:31:438134,0,0,0,0,0,0
11:07:31:443281,0,0,0,0,0,0
11:07:31:448840,0,0,0,0,0,0
11:07:31:454118,0,0,0,0,0,0
11:07:31:459684,0,0,0,0,0,0
11:07:31:464837,0,0,0,0,0,0
11:07:31:470405,0,0,0,0,0,0
11:07:31:475482,0,0,0,0,0,0
11:07:31:480701,0,0,0,0,0,0
11:07:31:485858,0,0,0,0,0,0
11:07:31:491009,0,0,0,0,0,0
11:07:31:496578,0,0,0,0,0,0
11:07:31:502203,0,0,0,0,0,0
11:07:31:507784,0,0,0,0,0,0
11:07:31:512924,0,0,0,0,0,0
11:07:31:518219,0,0,0,0,0,0
11:07:31:523385,0,0,0,0,0,0
11:07:31:528547,0,0,0,0,0,0
11:07:31:533608,0,0,0,0,0,0
11:07:31:538739,0,0,0,0,0,0
11:07:31:543861,0,0,0,0,0,0
11:07:31:548955,0,0,0,0,0,0
11:07:31:554045,0,0,0,0,0,0
11:07:31:559220,0,0,0,0,0,0
11:07:31:564499,0,0,0,0,0,0
11:07:31:570207,0,0,0,0,0,0
11:07:31:575498,0,0,0,0,0,0
11:07:31:580791,0,0,0,0,0,0
11:07:31:586164,0,0,0,0,0,0
11:07:31:591731,0,0,0,0,0,0
11:07:31:596839,0,0,0,0,0,0
11:07:31:601994,0,0,0,0,0,0
11:07:31:607147,0,0,0,0,0,0
11:07:31:612297,0,0,0,0,0,0
11:07:31:617423,0,0,0,0,0,0
11:07:31:623008,0,0,0,0,0,0
11:07:31:628592,0,0,0,0,0,0
11:07:31:633724,0,0,0,0,0,0
11:07:31:639124,0,0,0,0,0,0
11:07:31:644700,0,0,0,0,0,0
11:07:31:650148,0,0,0,0,0,0
11:07:31:655695,0,0,0,0,0,0
11:07:31:661285,0,0,0,0,0,0
11:07:31:666558,0,0,0,0,0,0
11:07:31:672073,0,0,0,0,0,0
11:07:31:677643,0,0,0,0,0,0
11:07:31:683263,0,0,0,0,0,0
11:07:31:688833,0,0,0,0,0,0
11:07:31:694195,0,0,0,0,0,0
11:07:31:699760,0,0,0,0,0,0
11:07:31:705365,0,0,0,0,0,0
11:07:31:710557,0,0,0,0,0,0
11:07:31:715681,0,0,0,0,0,0
11:07:31:721250,0,0,0,0,0,0
11:07:31:726541,0,0,0,0,0,0
11:07:31:731697,0,0,0,0,0,0
11:07:31:736793,0,0,0,0,0,0
11:07:31:741868,0,0,0,0,0,0
11:07:31:747019,0,0,0,0,0,0
11:07:31:752585,0,0,0,0,0,0
11:07:31:758097,0,0,0,0,0,0
11:07:31:763643,0,0,0,0,0,0
11:07:31:769202,0,0,0,0,0,0
11:07:31:774564,0,0,0,0,0,0
11:07:31:780160,0,0,0,0,0,0
11:07:31:785300,0,0,0,0,0,0
11:07:31:790387,0,0,0,0,0,0
11:07:31:795948,0,0,0,0,0,0
11:07:31:801099,0,0,0,0,0,0
11:07:31:806268,0,0,0,0,0,0
11:07:31:811401,0,0,0,0,0,0
11:07:31:816531,0,0,0,0,0,0
11:07:31:821608,0,0,0,0,0,0
11:07:31:826994,0,0,0,0,0,0
11:07:31:832122,0,0,0,0,0,0
11:07:31:837244,0,0,0,0,0,0
11:07:31:842343,0,0,0,0,0,0
11:07:31:847444,0,0,0,0,0,0
11:07:31:852860,-0.086,-0.054,0.253,0,0,-0.002
11:07:31:857951,-0.027,-0.043,0.15,-0.001,0.001,-0.001
11:07:31:863501,0.006,-0.027,0.038,-0.001,0.001,0
11:07:31:868935,0.013,0,-0.075,-0.002,0.001,0.001
11:07:31:874111,0.003,0.01,-0.055,-0.002,0.001,0.001
11:07:31:879272,0.009,0,0.063,-0.003,0,0
11:07:31:884407,0.029,-0.039,0.114,-0.002,0,0
11:07:31:889535,0.004,-0.076,0.037,-0.001,0,0
11:07:31:894691,-0.041,-0.082,-0.017,-0.001,0,0
11:07:31:899866,-0.103,-0.062,0.023,0,0,0
11:07:31:905039,-0.113,-0.044,0.134,0,0,-0.001
11:07:31:910173,-0.08,-0.022,0.263,0,0,-0.001
11:07:31:915335,-0.045,-0.001,0.213,0.001,0,-0.001
11:07:31:920677,-0.008,0.05,-0.064,0.002,0,0.001
11:07:31:925821,-0.01,0.104,-0.315,0.002,0,0.002
11:07:31:930990,-0.03,0.121,-0.345,0.002,0.001,0.001
11:07:31:936144,-0.056,0.112,-0.254,0,0.002,0
11:07:31:941301,-0.05,0.091,-0.195,0,0.002,0
11:07:31:946465,0,0.048,-0.132,0,0.001,0.001
11:07:31:951554,0.047,-0.007,0.007,0,0,0
11:07:31:956624,0.041,-0.041,0.132,0,0,-0.001
11:07:31:961693,-0.026,-0.055,0.219,-0.001,0.001,-0.002
11:07:31:966858,-0.073,-0.036,0.158,-0.001,0.001,-0.002
11:07:31:972011,-0.079,-0.003,-0.033,-0.001,0.001,0
11:07:31:977168,-0.041,-0.004,-0.133,0,0,0
11:07:31:982321,0.018,-0.038,-0.15,0,0,0.001
11:07:31:987414,0.027,-0.059,-0.059,0,0,0
11:07:31:992487,0.012,-0.049,0.01,0,0,0
11:07:31:997558,-0.001,-0.026,0.092,0,0,-0.001
11:07:32:2718,-0.003,-0.02,0.12,0,0,-0.001
11:07:32:7872,-0.016,-0.016,0.091,0,0,0
11:07:32:13036,-0.039,-0.009,0.026,0,0,0
11:07:32:18193,-0.076,0,-0.055,0,0.001,0
11:07:32:23269,-0.087,-0.007,-0.035,0,0,0
11:07:32:28441,-0.075,-0.015,0.008,0,0,0
11:07:32:33611,-0.056,-0.02,0.044,0,0,-0.001
11:07:32:38771,-0.038,-0.027,0.094,-0.001,0,-0.002
