Time,FT1,FT2,FT3,FT4,FT5,FT6
11:05:57:270286,0,0,0,0,0,0
11:05:57:275383,0,0,0,0,0,0
11:05:57:280533,0,0,0,0,0,0
11:05:57:285627,0,0,0,0,0,0
11:05:57:290777,0,0,0,0,0,0
11:05:57:296333,0,0,0,0,0,0
11:05:57:301407,0,0,0,0,0,0
11:05:57:306562,0,0,0,0,0,0
11:05:57:312123,0,0,0,0,0,0
11:05:57:317284,0,0,0,0,0,0
11:05:57:322450,0,0,0,0,0,0
11:05:57:328007,0,0,0,0,0,0
11:05:57:333619,0,0,0,0,0,0
11:05:57:338707,0,0,0,0,0,0
11:05:57:343833,0,0,0,0,0,0
11:05:57:349397,0,0,0,0,0,0
11:05:57:354972,0,0,0,0,0,0
11:05:57:360547,0,0,0,0,0,0
11:05:57:365690,0,0,0,0,0,0
11:05:57:370769,0,0,0,0,0,0
11:05:57:375937,0,0,0,0,0,0
11:05:57:381098,0,0,0,0,0,0
11:05:57:386704,0,0,0,0,0,0
11:05:57:391831,0,0,0,0,0,0
11:05:57:397466,0,0,0,0,0,0
11:05:57:402629,0,0,0,0,0,0
11:05:57:407794,0,0,0,0,0,0
11:05:57:412876,0,0,0,0,0,0
11:05:57:418500,0,0,0,0,0,0
11:05:57:423653,0,0,0,0,0,0
11:05:57:429226,0,0,0,0,0,0
11:05:57:434795,0,0,0,0,0,0
11:05:57:439924,0,0,0,0,0,0
11:05:57:445019,0,0,0,0,0,0
11:05:57:450113,0,0,0,0,0,0
11:05:57:455291,0,0,0,0,0,0
11:05:57:460458,0,0,0,0,0,0
11:05:57:465622,0,0,0,0,0,0
11:05:57:470786,0,0,0,0,0,0
11:05:57:475955,0,0,0,0,0,0
11:05:57:481064,0,0,0,0,0,0
11:05:57:486652,0,0,0,0,0,0
11:05:57:491730,0,0,0,0,0,0
11:05:57:496884,0,0,0,0,0,0
11:05:57:502018,0,0,0,0,0,0
11:05:57:507165,0,0,0,0,0,0
11:05:57:512728,0,0,0,0,0,0
11:05:57:518130,0,0,0,0,0,0
11:05:57:523249,0,0,0,0,0,0
11:05:57:528407,0,0,0,0,0,0
11:05:57:533485,0,0,0,0,0,0
11:05:57:538572,0,0,0,0,0,0
11:05:57:543673,0,0,0,0,0,0
11:05:57:548828,0,0,0,0,0,0
11:05:57:554106,0,0,0,0,0,0
11:05:57:559624,0,0,0,0,0,0
11:05:57:565185,0,0,0,0,0,0
11:05:57:570339,0,0,0,0,0,0
11:05:57:575967,0,0,0,0,0,0
11:05:57:581122,0,0,0,0,0,0
11:05:57:586692,0,0,0,0,0,0
11:05:57:592009,0,0,0,0,0,0
11:05:57:597641,0,0,0,0,0,0
11:05:57:602792,0,0,0,0,0,0
