Time,FT1,FT2,FT3,FT4,FT5,FT6
10:59:02:654111,0,0,0,0,0,0
10:59:02:659229,0,0,0,0,0,0
10:59:02:664382,0,0,0,0,0,0
10:59:02:669551,0,0,0,0,0,0
10:59:02:674703,0,0,0,0,0,0
10:59:02:680026,0,0,0,0,0,0
10:59:02:685098,0,0,0,0,0,0
10:59:02:690176,0,0,0,0,0,0
10:59:02:695326,0,0,0,0,0,0
10:59:02:700477,0,0,0,0,0,0
10:59:02:706040,0,0,0,0,0,0
10:59:02:711606,0,0,0,0,0,0
10:59:02:716762,0,0,0,0,0,0
10:59:02:721845,0,0,0,0,0,0
10:59:02:727462,0,0,0,0,0,0
10:59:02:732590,0,0,0,0,0,0
10:59:02:738162,0,0,0,0,0,0
10:59:02:743724,0,0,0,0,0,0
10:59:02:749295,0,0,0,0,0,0
10:59:02:754452,0,0,0,0,0,0
10:59:02:759536,0,0,0,0,0,0
10:59:02:764619,0,0,0,0,0,0
10:59:02:769695,0,0,0,0,0,0
10:59:02:774768,0,0,0,0,0,0
10:59:02:779856,0,0,0,0,0,0
10:59:02:784967,0,0,0,0,0,0
10:59:02:790030,0,0,0,0,0,0
10:59:02:795098,0,0,0,0,0,0
10:59:02:800167,0,0,0,0,0,0
10:59:02:805225,0,0,0,0,0,0
10:59:02:810449,0,0,0,0,0,0
10:59:02:815672,0,0,0,0,0,0
10:59:02:820896,0,0,0,0,0,0
10:59:02:826036,0,0,0,0,0,0
10:59:02:831110,0,0,0,0,0,0
10:59:02:836271,0,0,0,0,0,0
10:59:02:841385,0,0,0,0,0,0
10:59:02:846537,0,0,0,0,0,0
10:59:02:851714,0,0,0,0,0,0
10:59:02:857135,0,0,0,0,0,0
10:59:02:862266,0,0,0,0,0,0
10:59:02:867814,0,0,0,0,0,0
10:59:02:872967,0,0,0,0,0,0
10:59:02:878115,0,0,0,0,0,0
10:59:02:883617,0,0,0,0,0,0
10:59:02:889183,0,0,0,0,0,0
10:59:02:894332,0,0,0,0,0,0
10:59:02:899902,0,0,0,0,0,0
10:59:02:905532,0,0,0,0,0,0
10:59:02:910706,0,0,0,0,0,0
10:59:02:916334,0,0,0,0,0,0
10:59:02:921811,0,0,0,0,0,0
10:59:02:926971,0,0,0,0,0,0
10:59:02:932131,0,0,0,0,0,0
10:59:02:937668,0,0,0,0,0,0
10:59:02:943239,0,0,0,0,0,0
10:59:02:948725,0,0,0,0,0,0
10:59:02:954095,0,0,0,0,0,0
10:59:02:959603,0,0,0,0,0,0
10:59:02:965176,0,0,0,0,0,0
10:59:02:970255,0,0,0,0,0,0
10:59:02:975358,0,0,0,0,0,0
10:59:02:980460,0,0,0,0,0,0
10:59:02:985649,0,0,0,0,0,0
10:59:02:990819,0,0,0,0,0,0
10:59:02:996458,0,0,0,0,0,0
10:59:03:2021,0,0,0,0,0,0
10:59:03:7178,0,0,0,0,0,0
10:59:03:12750,0,0,0,0,0,0
10:59:03:18162,0,0,0,0,0,0
10:59:03:23255,0,0,0,0,0,0
10:59:03:28431,0,0,0,0,0,0
10:59:03:33615,0,0,0,0,0,0
10:59:03:39243,0,0,0,0,0,0
10:59:03:44411,0,0,0,0,0,0
10:59:03:49521,0,0,0,0,0,0
10:59:03:54914,0,0,0,0,0,0
10:59:03:60001,0,0,0,0,0,0
10:59:03:65157,0,0,0,0,0,0
10:59:03:70423,0,0,0,0,0,0
10:59:03:75494,-0.056,-0.004,0.118,0,0,-0.001
10:59:03:80668,-0.06,-0.112,0.272,0,-0.001,-0.002
10:59:03:85742,-0.096,-0.1,0.255,0,-0.001,-0.001
10:59:03:90867,-0.099,-0.049,0.033,0,0,0
10:59:03:96031,-0.066,0.008,-0.257,0.001,0,0.002
10:59:03:101184,-0.037,-0.002,-0.257,0.001,-0.001,0.002
10:59:03:106336,-0.015,-0.068,-0.076,0.001,-0.002,0
10:59:03:111416,-0.017,-0.106,-0.005,0.001,-0.002,0
10:59:03:116580,-0.022,-0.115,-0.057,0.001,-0.002,0
10:59:03:121700,-0.017,-0.093,-0.12,0.001,-0.001,0
10:59:03:126858,0,-0.046,-0.182,0.002,-0.001,0.001
10:59:03:132018,0.017,-0.014,-0.239,0.002,-0.001,0.001
10:59:03:137460,0.022,-0.013,-0.273,0.002,-0.001,0.002
10:59:03:142722,0.034,-0.026,-0.29,0.002,0,0.002
10:59:03:147871,0.061,-0.035,-0.32,0.002,0,0.002
10:59:03:153040,0.075,-0.037,-0.374,0.002,0,0.003
10:59:03:158197,0.059,-0.05,-0.437,0.002,0,0.003
10:59:03:163632,0.022,-0.07,-0.41,0.003,0,0.003
10:59:03:168800,-0.034,-0.105,-0.248,0.003,0,0.001
10:59:03:173873,-0.047,-0.134,-0.009,0.002,0,0
10:59:03:178985,-0.03,-0.145,0.125,0.002,0,0
10:59:03:184054,-0.007,-0.132,0.162,0.002,0,0
10:59:03:189211,-0.01,-0.103,0.054,0.002,0,0
10:59:03:194363,-0.025,-0.058,-0.159,0.002,0,0.001
10:59:03:199535,-0.024,-0.05,-0.201,0.002,0,0.001
10:59:03:204701,-0.004,-0.082,-0.048,0.001,0,0
10:59:03:209775,0,-0.128,0.146,0.001,0,-0.001
10:59:03:214929,-0.011,-0.14,0.162,0.001,0,-0.001
10:59:03:220131,-0.017,-0.131,0.073,0.001,0,-0.001
10:59:03:225230,0,-0.099,-0.121,0.002,0,0
10:59:03:230349,0.026,-0.085,-0.194,0.002,0,0.002
10:59:03:235610,0.032,-0.089,-0.155,0.002,0,0.002
10:59:03:240779,0.026,-0.09,-0.06,0.002,0,0.001
10:59:03:245851,0.012,-0.069,0,0.002,0,0
10:59:03:250953,-0.004,-0.057,0.034,0.002,0,-0.001
10:59:03:256027,-0.03,-0.06,0.103,0.002,0,-0.002
10:59:03:261128,-0.025,-0.071,0.145,0.001,0,-0.002
