Time,FT1,FT2,FT3,FT4,FT5,FT6
10:59:54:963749,0,0,0,0,0,0
10:59:54:968915,0,0,0,0,0,0
10:59:54:974054,0,0,0,0,0,0
10:59:54:979200,0,0,0,0,0,0
10:59:54:984758,0,0,0,0,0,0
10:59:54:990126,0,0,0,0,0,0
10:59:54:995614,0,0,0,0,0,0
10:59:55:687,0,0,0,0,0,0
10:59:55:5885,0,0,0,0,0,0
10:59:55:11059,0,0,0,0,0,0
10:59:55:16144,0,0,0,0,0,0
10:59:55:21738,0,0,0,0,0,0
10:59:55:26851,0,0,0,0,0,0
10:59:55:32004,0,0,0,0,0,0
10:59:55:37618,0,0,0,0,0,0
10:59:55:43191,0,0,0,0,0,0
10:59:55:48779,0,0,0,0,0,0
10:59:55:53951,0,0,0,0,0,0
10:59:55:59417,0,0,0,0,0,0
10:59:55:64557,0,0,0,0,0,0
10:59:55:69685,0,0,0,0,0,0
10:59:55:74784,0,0,0,0,0,0
10:59:55:79847,0,0,0,0,0,0
10:59:55:84942,0,0,0,0,0,0
10:59:55:89998,0,0,0,0,0,0
10:59:55:95057,0,0,0,0,0,0
10:59:55:100156,0,0,0,0,0,0
10:59:55:105383,0,0,0,0,0,0
10:59:55:110778,0,0,0,0,0,0
10:59:55:116128,0,0,0,0,0,0
10:59:55:121295,0,0,0,0,0,0
10:59:55:126537,0,0,0,0,0,0
10:59:55:132140,0,0,0,0,0,0
10:59:55:137215,0,0,0,0,0,0
10:59:55:142311,0,0,0,0,0,0
10:59:55:147472,0,0,0,0,0,0
10:59:55:152564,0,0,0,0,0,0
10:59:55:157715,0,0,0,0,0,0
10:59:55:162889,0,0,0,0,0,0
10:59:55:168468,0,0,0,0,0,0
10:59:55:173623,0,0,0,0,0,0
10:59:55:178800,0,0,0,0,0,0
10:59:55:184424,0,0,0,0,0,0
10:59:55:190041,0,0,0,0,0,0
10:59:55:195191,0,0,0,0,0,0
10:59:55:200785,0,0,0,0,0,0
10:59:55:206402,0,0,0,0,0,0
10:59:55:211820,0,0,0,0,0,0
10:59:55:216998,0,0,0,0,0,0
10:59:55:222589,0,0,0,0,0,0
10:59:55:228060,0,0,0,0,0,0
10:59:55:233189,0,0,0,0,0,0
10:59:55:238757,0,0,0,0,0,0
10:59:55:244330,0,0,0,0,0,0
10:59:55:249491,0,0,0,0,0,0
10:59:55:254644,0,0,0,0,0,0
10:59:55:259848,0,0,0,0,0,0
10:59:55:265020,0,0,0,0,0,0
10:59:55:270416,0,0,0,0,0,0
10:59:55:275592,0,0,0,0,0,0
10:59:55:281180,0,0,0,0,0,0
10:59:55:286263,0,0,0,0,0,0
10:59:55:291826,0,0,0,0,0,0
10:59:55:297451,0,0,0,0,0,0
10:59:55:302621,0,0,0,0,0,0
10:59:55:307970,0,0,0,0,0,0
10:59:55:313606,0,0,0,0,0,0
10:59:55:319238,0,0,0,0,0,0
10:59:55:324401,0,0,0,0,0,0
10:59:55:329928,0,0,0,0,0,0
10:59:55:335564,0,0,0,0,0,0
10:59:55:340834,0,0,0,0,0,0
10:59:55:346039,0,0,0,0,0,0
10:59:55:351677,0,0,0,0,0,0
10:59:55:356800,0,0,0,0,0,0
10:59:55:361955,0,0,0,0,0,0
10:59:55:367109,0,0,0,0,0,0
10:59:55:372261,0,0,0,0,0,0
10:59:55:377337,0,0,0,0,0,0
10:59:55:382603,0,0,0,0,0,0
10:59:55:387748,0,0,0,0,0,0
10:59:55:392904,0.011,0.005,-0.037,0,-0.001,0
10:59:55:398176,0.025,0.034,-0.178,0,0,0.001
10:59:55:403327,0.059,0.06,-0.287,0,0,0.002
10:59:55:408458,0.066,0.052,-0.211,-0.001,0,0.002
10:59:55:413630,0.045,0.024,0.027,-0.001,0,0
10:59:55:418750,0.029,0.026,0.132,-0.001,0.001,0
10:59:55:423872,0.047,0.05,0.059,-0.001,0.001,0
10:59:55:429026,0.11,0.082,-0.116,-0.001,0.001,0.001
10:59:55:434172,0.157,0.078,-0.157,0,0.001,0.001
10:59:55:439323,0.206,0.029,-0.059,0,0.001,0.001
