Time,FT1,FT2,FT3,FT4,FT5,FT6
11:06:32:772243,-0.023,-0.074,0.01,0,-0.003,-0.002
11:06:32:777422,-0.004,-0.054,0.052,0,-0.002,-0.003
11:06:32:782594,0.019,-0.039,0.064,-0.001,-0.002,-0.003
11:06:32:787670,0.069,-0.02,-0.082,-0.001,-0.002,-0.001
11:06:32:793097,0.103,-0.01,-0.276,-0.001,-0.003,0.001
11:06:32:798249,0.121,-0.008,-0.483,0,-0.004,0.003
11:06:32:803321,0.087,-0.03,-0.406,0.001,-0.004,0.003
11:06:32:808429,0.055,-0.048,-0.234,0,-0.003,0.001
11:06:32:813673,0.028,-0.058,0.08,0,-0.003,-0.001
11:06:32:818763,0.031,-0.054,0.271,0,-0.002,-0.002
11:06:32:823860,0.043,-0.049,0.392,0,-0.002,-0.003
11:06:32:828960,0.057,-0.054,0.293,0,-0.002,-0.002
11:06:32:834133,0.058,-0.055,0.141,0,-0.003,-0.001
11:06:32:839290,0.066,-0.045,0.001,0,-0.003,0
11:06:32:844470,0.073,-0.034,0.001,0,-0.003,0
11:06:32:849682,0.071,-0.026,0.034,0,-0.003,-0.001
11:06:32:854787,0.04,-0.028,0.056,-0.001,-0.002,-0.002
11:06:32:859943,0.001,-0.048,0.022,-0.001,-0.002,-0.001
11:06:32:865110,-0.009,-0.073,-0.027,-0.001,-0.002,-0.001
11:06:32:870196,-0.009,-0.08,-0.047,-0.001,-0.002,-0.001
11:06:32:875355,-0.021,-0.064,-0.015,-0.001,-0.001,-0.002
11:06:32:880494,-0.023,-0.037,0.05,-0.001,-0.001,-0.002
11:06:32:885632,0.019,-0.001,0.133,-0.001,-0.001,-0.002
11:06:32:890759,0.086,0,0.078,0,-0.002,0
11:06:32:895924,0.101,-0.021,-0.031,0,-0.002,0
11:06:32:901085,0.071,-0.061,-0.172,0,-0.002,0
11:06:32:906244,0.048,-0.076,-0.183,0,-0.002,0
11:06:32:911415,0.046,-0.072,-0.087,0,-0.003,-0.001
11:06:32:916586,0.056,-0.061,-0.014,-0.001,-0.003,-0.002
11:06:32:921731,0.062,-0.058,0.021,-0.001,-0.003,-0.002
11:06:32:926887,0.068,-0.076,-0.006,-0.001,-0.003,-0.002
11:06:32:932056,0.085,-0.082,-0.03,-0.001,-0.003,-0.001
11:06:32:937229,0.12,-0.056,-0.079,-0.001,-0.002,0
11:06:32:942419,0.127,-0.021,-0.123,-0.001,-0.002,0
11:06:32:947591,0.09,0.007,-0.144,-0.002,-0.001,0.001
11:06:32:952673,0.029,-0.031,-0.064,-0.003,-0.001,0
11:06:32:957821,0.013,-0.076,-0.007,-0.003,-0.001,-0.001
11:06:32:962980,0.043,-0.11,-0.017,-0.002,-0.001,-0.001
11:06:32:968081,0.078,-0.102,-0.069,-0.002,-0.002,0
11:06:32:973265,0.104,-0.084,-0.101,-0.001,-0.002,0
11:06:32:978442,0.093,-0.092,-0.071,-0.001,-0.002,-0.001
11:06:32:983530,0.058,-0.13,-0.014,-0.002,-0.002,-0.002
11:06:32:988613,0.039,-0.155,0.012,-0.002,-0.002,-0.003
11:06:32:993778,0.037,-0.173,0.06,-0.003,-0.002,-0.003
11:06:32:998851,0.061,-0.172,0.089,-0.003,-0.002,-0.003
11:06:33:4021,0.081,-0.171,0.049,-0.004,-0.002,-0.003
11:06:33:9164,0.099,-0.178,-0.034,-0.004,-0.002,-0.002
11:06:33:14476,0.092,-0.187,-0.137,-0.005,-0.001,-0.002
11:06:33:19720,0.068,-0.195,-0.138,-0.005,-0.001,-0.002
11:06:33:24799,0.016,-0.216,-0.059,-0.006,-0.001,-0.003
11:06:33:29971,0.006,-0.235,-0.035,-0.006,0,-0.004
11:06:33:35103,-0.007,-0.264,0.009,-0.008,0,-0.004
11:06:33:40272,-0.035,-0.269,0.068,-0.009,0,-0.005
11:06:33:45451,-0.095,-0.246,0.141,-0.01,0.002,-0.006
11:06:33:50615,-0.11,-0.226,0.114,-0.01,0.003,-0.006
