Time,FT1,FT2,FT3,FT4,FT5,FT6
11:08:04:73798,0,0,0,0,0,0
11:08:04:78933,0,0,0,0,0,0
11:08:04:84052,0,0,0,0,0,0
11:08:04:89172,0,0,0,0,0,0
11:08:04:94248,0,0,0,0,0,0
11:08:04:99410,0,0,0,0,0,0
11:08:04:104568,0,0,0,0,0,0
11:08:04:110179,0,0,0,0,0,0
11:08:04:115614,0,0,0,0,0,0
11:08:04:121176,0,0,0,0,0,0
11:08:04:126740,0,0,0,0,0,0
11:08:04:132303,0,0,0,0,0,0
11:08:04:137515,0,0,0,0,0,0
11:08:04:142652,0,0,0,0,0,0
11:08:04:147728,0,0,0,0,0,0
11:08:04:152887,0,0,0,0,0,0
11:08:04:158118,0,0,0,0,0,0
11:08:04:163547,0,0,0,0,0,0
11:08:04:168707,0,0,0,0,0,0
11:08:04:173805,0,0,0,0,0,0
11:08:04:178895,0,0,0,0,0,0
11:08:04:183959,0,0,0,0,0,0
11:08:04:189061,0,0,0,0,0,0
11:08:04:194121,0,0,0,0,0,0
11:08:04:199198,0,0,0,0,0,0
11:08:04:204259,0,0,0,0,0,0
11:08:04:209545,0,0,0,0,0,0
11:08:04:214819,0,0,0,0,0,0
11:08:04:220115,0,0,0,0,0,0
11:08:04:225373,0,0,0,0,0,0
11:08:04:230702,0,0,0,0,0,0
11:08:04:236268,0,0,0,0,0,0
11:08:04:241856,0,0,0,0,0,0
11:08:04:246929,0,0,0,0,0,0
11:08:04:252039,0,0,0,0,0,0
11:08:04:257187,0,0,0,0,0,0
11:08:04:262313,0,0,0,0,0,0
11:08:04:267486,0,0,0,0,0,0
11:08:04:273117,0,0,0,0,0,0
11:08:04:278279,0,0,0,0,0,0
11:08:04:283451,0,0,0,0,0,0
11:08:04:288619,0,0,0,0,0,0
11:08:04:293787,0,0,0,0,0,0
11:08:04:299293,0,0,0,0,0,0
11:08:04:304891,0,0,0,0,0,0
11:08:04:310153,0,0,0,0,0,0
11:08:04:315614,0,0,0,0,0,0
11:08:04:321243,0,0,0,0,0,0
11:08:04:326530,0,0,0,0,0,0
11:08:04:332192,0,0,0,0,0,0
11:08:04:337343,0,0,0,0,0,0
11:08:04:342914,0,0,0,0,0,0
11:08:04:348492,0,0,0,0,0,0
11:08:04:353647,0,0,0,0,0,0
11:08:04:358799,0,0,0,0,0,0
11:08:04:363949,0,0,0,0,0,0
11:08:04:369121,0,0,0,0,0,0
11:08:04:374194,0,0,0,0,0,0
11:08:04:379646,0,0,0,0,0,0
11:08:04:385274,0,0,0,0,0,0
11:08:04:390859,0,0,0,0,0,0
11:08:04:396354,0,0,0,0,0,0
11:08:04:401982,0,0,0,0,0,0
11:08:04:407525,0,0,0,0,0,0
11:08:04:413022,0,0,0,0,0,0
11:08:04:418648,0,0,0,0,0,0
11:08:04:423860,0,0,0,0,0,0
11:08:04:429032,0,0,0,0,0,0
11:08:04:434324,0,0,0,0,0,0
11:08:04:439802,0,0,0,0,0,0
11:08:04:445438,0,0,0,0,0,0
11:08:04:450573,0,0,0,0,0,0
11:08:04:455776,0,0,0,0,0,0
11:08:04:461405,0,0,0,0,0,0
11:08:04:466550,0,0,0,0,0,0
11:08:04:471671,0,0,0,0,0,0
11:08:04:476780,0,0,0,0,0,0
11:08:04:481885,0,0,0,0,0,0
11:08:04:486961,0,0,0,0,0,0
11:08:04:492119,0,0,0,0,0,0
11:08:04:497248,0,0,0,0,0,0
11:08:04:502391,0.018,0.11,0.018,0.003,0.001,0
11:08:04:507566,0,0.093,0.001,0.003,0.002,0
11:08:04:512920,-0.018,0.093,-0.125,0.002,0.002,0
11:08:04:518066,-0.021,0.108,-0.205,0.002,0.002,0
11:08:04:523196,-0.038,0.115,-0.2,0.001,0.003,0
11:08:04:528352,-0.072,0.081,-0.162,0,0.003,0
11:08:04:533504,-0.083,0.048,-0.213,0,0.004,0
11:08:04:538677,-0.067,0.007,-0.301,0,0.004,0
11:08:04:543786,-0.047,-0.008,-0.26,0,0.003,0
11:08:04:548954,-0.022,-0.008,-0.141,-0.001,0.003,0
11:08:04:554035,-0.005,0.026,-0.243,-0.001,0.003,0
11:08:04:559193,0,0.047,-0.399,-0.002,0.003,0.001
11:08:04:564348,-0.009,0.031,-0.432,-0.002,0.003,0.003
11:08:04:569522,-0.021,-0.003,-0.276,-0.002,0.003,0.002
11:08:04:574689,-0.024,-0.03,-0.096,-0.002,0.002,0.001
11:08:04:579788,-0.01,-0.012,-0.161,-0.002,0.003,0.001
11:08:04:584953,0.006,0.019,-0.364,-0.001,0.004,0.003
11:08:04:590026,-0.013,0.001,-0.308,-0.001,0.005,0.002
11:08:04:595181,-0.042,-0.023,-0.136,-0.001,0.005,0.001
11:08:04:600338,-0.075,-0.028,0.039,-0.001,0.005,0
11:08:04:605512,-0.076,-0.009,0.028,-0.001,0.005,0
11:08:04:610893,-0.052,0.014,-0.056,0,0.005,0
11:08:04:616291,-0.034,0.019,-0.098,-0.001,0.005,0
