Time,FT1,FT2,FT3,FT4,FT5,FT6
11:00:48:284685,0,0,0,0,0,0
11:00:48:289749,0,0,0,0,0,0
11:00:48:294943,0,0,0,0,0,0
11:00:48:300047,0,0,0,0,0,0
11:00:48:305684,0,0,0,0,0,0
11:00:48:311179,0,0,0,0,0,0
11:00:48:316667,0,0,0,0,0,0
11:00:48:322309,0,0,0,0,0,0
11:00:48:327847,0,0,0,0,0,0
11:00:48:333423,0,0,0,0,0,0
11:00:48:338798,0,0,0,0,0,0
11:00:48:344370,0,0,0,0,0,0
11:00:48:349947,0,0,0,0,0,0
11:00:48:355502,0,0,0,0,0,0
11:00:48:360656,0,0,0,0,0,0
11:00:48:366228,0,0,0,0,0,0
11:00:48:371388,0,0,0,0,0,0
11:00:48:376908,0,0,0,0,0,0
11:00:48:382037,0,0,0,0,0,0
11:00:48:387125,0,0,0,0,0,0
11:00:48:392204,0,0,0,0,0,0
11:00:48:397274,0,0,0,0,0,0
11:00:48:402351,0,0,0,0,0,0
11:00:48:407432,0,0,0,0,0,0
11:00:48:412536,0,0,0,0,0,0
11:00:48:417627,0,0,0,0,0,0
11:00:48:422713,0,0,0,0,0,0
11:00:48:427797,0,0,0,0,0,0
11:00:48:432874,0,0,0,0,0,0
11:00:48:437982,0,0,0,0,0,0
11:00:48:443048,0,0,0,0,0,0
11:00:48:448277,0,0,0,0,0,0
11:00:48:453913,0,0,0,0,0,0
11:00:48:458981,0,0,0,0,0,0
11:00:48:464047,0,0,0,0,0,0
11:00:48:469258,0,0,0,0,0,0
11:00:48:474480,0,0,0,0,0,0
11:00:48:479555,0,0,0,0,0,0
11:00:48:485207,0,0,0,0,0,0
11:00:48:490276,0,0,0,0,0,0
11:00:48:495560,0,0,0,0,0,0
11:00:48:501126,0,0,0,0,0,0
11:00:48:506286,0,0,0,0,0,0
11:00:48:511800,0,0,0,0,0,0
11:00:48:517351,0,0,0,0,0,0
11:00:48:522917,0,0,0,0,0,0
11:00:48:528077,0,0,0,0,0,0
11:00:48:533641,0,0,0,0,0,0
11:00:48:539146,0,0,0,0,0,0
11:00:48:544713,0,0,0,0,0,0
11:00:48:549872,0,0,0,0,0,0
11:00:48:554987,0,0,0,0,0,0
11:00:48:560622,0,0,0,0,0,0
11:00:48:566213,0,0,0,0,0,0
