Time,FT1,FT2,FT3,FT4,FT5,FT6
11:08:22:316213,0,0,0,0,0,0
11:08:22:321289,0,0,0,0,0,0
11:08:22:326435,0,0,0,0,0,0
11:08:22:331585,0,0,0,0,0,0
11:08:22:336738,0,0,0,0,0,0
11:08:22:342106,0,0,0,0,0,0
11:08:22:347586,0,0,0,0,0,0
11:08:22:352737,0,0,0,0,0,0
11:08:22:357858,0,0,0,0,0,0
11:08:22:363326,0,0,0,0,0,0
11:08:22:368903,0,0,0,0,0,0
11:08:22:374093,0,0,0,0,0,0
11:08:22:379660,0,0,0,0,0,0
11:08:22:385224,0,0,0,0,0,0
11:08:22:390301,0,0,0,0,0,0
11:08:22:395894,0,0,0,0,0,0
11:08:22:401518,0,0,0,0,0,0
11:08:22:406619,0,0,0,0,0,0
11:08:22:412159,0,0,0,0,0,0
11:08:22:417238,0,0,0,0,0,0
11:08:22:422371,0,0,0,0,0,0
11:08:22:427437,0,0,0,0,0,0
11:08:22:432507,0,0,0,0,0,0
11:08:22:437608,0,0,0,0,0,0
11:08:22:442666,0,0,0,0,0,0
11:08:22:447767,0,0,0,0,0,0
11:08:22:452831,0,0,0,0,0,0
11:08:22:457890,0,0,0,0,0,0
11:08:22:463154,0,0,0,0,0,0
11:08:22:468402,0,0,0,0,0,0
11:08:22:473638,0,0,0,0,0,0
11:08:22:478882,0,0,0,0,0,0
11:08:22:484475,0,0,0,0,0,0
11:08:22:489565,0,0,0,0,0,0
11:08:22:494781,0,0,0,0,0,0
11:08:22:499945,0,0,0,0,0,0
11:08:22:505114,0,0,0,0,0,0
11:08:22:510267,0,0,0,0,0,0
11:08:22:515835,0,0,0,0,0,0
11:08:22:520989,0,0,0,0,0,0
11:08:22:526139,0,0,0,0,0,0
11:08:22:531705,0,0,0,0,0,0
11:08:22:537276,0,0,0,0,0,0
11:08:22:542848,0,0,0,0,0,0
11:08:22:547925,0,0,0,0,0,0
11:08:22:553490,0,0,0,0,0,0
11:08:22:558645,0,0,0,0,0,0
11:08:22:563797,0,0,0,0,0,0
11:08:22:568958,0,0,0,0,0,0
11:08:22:574115,0,0,0,0,0,0
11:08:22:579711,0,0,0,0,0,0
11:08:22:585344,0,0,0,0,0,0
11:08:22:590525,0,0,0,0,0,0
11:08:22:596117,0,0,0,0,0,0
11:08:22:601710,0,0,0,0,0,0
11:08:22:606879,0,0,0,0,0,0
11:08:22:612012,0,0,0,0,0,0
11:08:22:617162,0,0,0,0,0,0
11:08:22:622309,0,0,0,0,0,0
11:08:22:627463,0,0,0,0,0,0
11:08:22:632844,0,0,0,0,0,0
11:08:22:638133,0,0,0,0,0,0
11:08:22:643284,0,0,0,0,0,0
11:08:22:648839,0,0,0,0,0,0
11:08:22:654000,0,0,0,0,0,0
11:08:22:659371,0,0,0,0,0,0
11:08:22:664925,0,0,0,0,0,0
11:08:22:670045,0,0,0,0,0,0
11:08:22:675197,0,0,0,0,0,0
11:08:22:680757,0,0,0,0,0,0
11:08:22:685839,0,0,0,0,0,0
11:08:22:691410,0,0,0,0,0,0
11:08:22:696577,0,0,0,0,0,0
11:08:22:702165,0,0,0,0,0,0
11:08:22:707240,0,0,0,0,0,0
11:08:22:712391,0,0,0,0,0,0
11:08:22:717749,0,0,0,0,0,0
11:08:22:722916,0,0,0,0,0,0
11:08:22:727995,0,0,0,0,0,0
11:08:22:733563,0,0,0,0,0,0
11:08:22:738636,0.001,0.055,-0.06,0,0,0
11:08:22:743893,0.021,0.003,0,0,0,0
11:08:22:749057,0.025,0.016,-0.034,0,0,0
11:08:22:754133,0.018,0.033,-0.119,0,0.001,0.002
11:08:22:759204,0.007,0.029,-0.152,0,0.001,0.002
11:08:22:764276,0.006,0.012,-0.149,0,0.001,0.001
11:08:22:769446,0.016,0.006,-0.128,0,0.001,0.001
11:08:22:774615,0.015,0.004,-0.096,0,0.001,0
11:08:22:779828,-0.008,0.005,-0.101,0,0.001,0
11:08:22:784997,-0.051,0.019,-0.199,0,0.002,0.001
11:08:22:790085,-0.061,0.041,-0.286,0,0.002,0.002
11:08:22:795161,-0.041,0.069,-0.284,0.001,0.002,0.002
11:08:22:800236,-0.011,0.062,-0.116,0.001,0.001,0.001
11:08:22:805412,0.007,0.049,-0.047,0.001,0,0.001
11:08:22:810583,0.034,0.054,-0.094,0.002,0,0.001
11:08:22:815750,0.047,0.073,-0.112,0.002,0,0.001
11:08:22:820914,0.046,0.096,0.041,0.002,0,0
11:08:22:826049,0.039,0.086,0.219,0.002,-0.001,0
11:08:22:831204,0.044,0.065,0.209,0.002,-0.002,0
11:08:22:836347,0.058,0.023,0.077,0.001,-0.002,0
11:08:22:841502,0.062,0,0.03,0.001,-0.002,0
11:08:22:846655,0.065,-0.005,0.074,0,-0.002,0
11:08:22:851841,0.071,0.006,0.139,0,-0.002,0
11:08:22:856924,0.078,0.01,0.258,0,-0.001,0
11:08:22:862041,0.075,-0.009,0.331,0,-0.001,0
11:08:22:867197,0.066,-0.029,0.316,0,-0.001,0
11:08:22:872395,0.063,-0.005,0.175,0,-0.001,0
11:08:22:877552,0.06,0.072,-0.119,0,-0.001,0.001
11:08:22:882707,0.046,0.108,-0.275,0,0,0.001
11:08:22:887861,0.031,0.082,-0.263,0,0,0.001
