Time,FT1,FT2,FT3,FT4,FT5,FT6
11:07:03:671737,0,0,0,0,0,0
11:07:03:676883,0,0,0,0,0,0
11:07:03:682020,0,0,0,0,0,0
11:07:03:687112,0,0,0,0,0,0
11:07:03:692684,0,0,0,0,0,0
11:07:03:698129,0,0,0,0,0,0
11:07:03:703620,0,0,0,0,0,0
11:07:03:708752,0,0,0,0,0,0
11:07:03:714120,0,0,0,0,0,0
11:07:03:719264,0,0,0,0,0,0
11:07:03:724388,0,0,0,0,0,0
11:07:03:729998,0,0,0,0,0,0
11:07:03:735145,0,0,0,0,0,0
11:07:03:740711,0,0,0,0,0,0
11:07:03:746277,0,0,0,0,0,0
11:07:03:751742,0,0,0,0,0,0
11:07:03:757310,0,0,0,0,0,0
11:07:03:762464,0,0,0,0,0,0
11:07:03:767819,0,0,0,0,0,0
11:07:03:772897,0,0,0,0,0,0
11:07:03:778022,0,0,0,0,0,0
11:07:03:783149,0,0,0,0,0,0
11:07:03:788270,0,0,0,0,0,0
11:07:03:794764,0,0,0,0,0,0
11:07:03:799885,0,0,0,0,0,0
11:07:03:805006,0,0,0,0,0,0
11:07:03:810087,0,0,0,0,0,0
11:07:03:815182,0,0,0,0,0,0
11:07:03:820260,0,0,0,0,0,0
11:07:03:825336,0,0,0,0,0,0
11:07:03:830442,0,0,0,0,0,0
11:07:03:835535,0,0,0,0,0,0
11:07:03:840772,0,0,0,0,0,0
11:07:03:845831,0,0,0,0,0,0
11:07:03:850975,0,0,0,0,0,0
11:07:03:856132,0,0,0,0,0,0
11:07:03:861223,0,0,0,0,0,0
11:07:03:866346,0,0,0,0,0,0
11:07:03:871501,0,0,0,0,0,0
11:07:03:877146,0,0,0,0,0,0
11:07:03:882245,0,0,0,0,0,0
11:07:03:887366,0,0,0,0,0,0
11:07:03:892933,0,0,0,0,0,0
11:07:03:898199,0,0,0,0,0,0
11:07:03:903718,0,0,0,0,0,0
11:07:03:908925,0,0,0,0,0,0
11:07:03:914084,0,0,0,0,0,0
11:07:03:919257,0,0,0,0,0,0
11:07:03:924802,0,0,0,0,0,0
11:07:03:930146,0,0,0,0,0,0
11:07:03:935586,0,0,0,0,0,0
11:07:03:941149,0,0,0,0,0,0
11:07:03:946715,0,0,0,0,0,0
11:07:03:952276,0,0,0,0,0,0
11:07:03:957439,0,0,0,0,0,0
11:07:03:962597,0,0,0,0,0,0
11:07:03:968160,0,0,0,0,0,0
11:07:03:973308,0,0,0,0,0,0
11:07:03:978879,0,0,0,0,0,0
11:07:03:984448,0,0,0,0,0,0
11:07:03:989605,0,0,0,0,0,0
11:07:03:994762,0,0,0,0,0,0
11:07:04:272,0,0,0,0,0,0
11:07:04:5407,0,0,0,0,0,0
11:07:04:10544,0,0,0,0,0,0
11:07:04:16170,0,0,0,0,0,0
11:07:04:21778,0,0,0,0,0,0
11:07:04:26945,0,0,0,0,0,0
11:07:04:32029,0,0,0,0,0,0
11:07:04:37655,0,0,0,0,0,0
11:07:04:43287,0,0,0,0,0,0
11:07:04:48442,0,0,0,0,0,0
11:07:04:53635,0,0,0,0,0,0
11:07:04:58807,0,0,0,0,0,0
11:07:04:64111,0,0,0,0,0,0
11:07:04:69238,0,0,0,0,0,0
11:07:04:74398,0,0,0,0,0,0
11:07:04:79548,0,0,0,0,0,0
11:07:04:84738,0,0,0,0,0,0
11:07:04:89852,0,0,0,0,0,0
11:07:04:95233,0,0,0,0,0,0
11:07:04:100309,0,0,0,0,0,0
11:07:04:105890,0,0,0,0,0,0
11:07:04:111012,0.006,0.057,-0.034,0,0.001,0
11:07:04:116357,0.032,0.077,-0.122,0,0.001,0
11:07:04:121509,0.069,0.079,-0.098,0,0.002,0.001
11:07:04:126659,0.064,0.059,0.005,0,0.001,0
11:07:04:131810,-0.003,0.02,0.101,0,0.001,-0.001
11:07:04:136885,-0.108,-0.002,0.051,0,0.001,-0.002
11:07:04:142022,-0.162,-0.014,0.039,0,0.002,-0.002
11:07:04:147303,-0.18,-0.029,0.104,0,0.003,-0.002
11:07:04:152470,-0.143,-0.046,0.27,0,0.003,-0.002
11:07:04:157653,-0.089,-0.025,0.346,0,0.003,-0.002
11:07:04:162819,-0.076,0.013,0.326,0,0.003,-0.002
11:07:04:167962,-0.073,0.072,0.24,0,0.005,-0.002
11:07:04:173096,-0.045,0.084,0.12,0,0.005,-0.001
11:07:04:178263,-0.014,0.071,0.055,0,0.005,0
11:07:04:183437,0.009,0.06,0.037,0,0.004,0
11:07:04:188607,0.013,0.066,0.108,0.001,0.003,0
11:07:04:193702,0.001,0.077,0.192,0.001,0.003,-0.001
11:07:04:198864,-0.003,0.072,0.193,0.001,0.003,-0.001
11:07:04:203945,-0.008,0.06,0.106,0.002,0.003,-0.001
11:07:04:209022,-0.011,0.062,0.026,0.001,0.003,0
11:07:04:214174,-0.009,0.084,-0.059,0.001,0.004,0
11:07:04:219241,0.004,0.1,-0.053,0,0.003,0
11:07:04:224415,0.019,0.093,0.01,0,0.002,0
11:07:04:229608,0.063,0.059,0.142,0,0,-0.001
11:07:04:234836,0.118,0.039,0.198,0.001,0,-0.001
11:07:04:240007,0.133,0.058,0.158,0.001,0,0
11:07:04:245082,0.118,0.099,0.084,0.001,0,0
11:07:04:250156,0.08,0.153,0.007,0.001,0,0
11:07:04:255229,0.099,0.142,0.025,0.002,0,0
11:07:04:260420,0.146,0.108,0.05,0.002,-0.002,0
11:07:04:265614,0.194,0.076,0.014,0.003,-0.002,0.001
11:07:04:270762,0.182,0.083,-0.075,0.002,-0.002,0.002
11:07:04:275856,0.131,0.106,-0.223,0.001,-0.001,0.003
11:07:04:281031,0.118,0.103,-0.255,0.001,-0.001,0.003
11:07:04:286208,0.153,0.058,-0.175,0,-0.002,0.001
11:07:04:291283,0.192,-0.007,-0.087,0,-0.004,0
11:07:04:296452,0.189,-0.042,-0.078,0,-0.004,0
11:07:04:301613,0.15,-0.071,-0.046,-0.001,-0.003,-0.001
11:07:04:306784,0.129,-0.079,0.06,-0.002,-0.002,-0.002
11:07:04:311882,0.125,-0.086,0.218,-0.003,-0.002,-0.003
11:07:04:317044,0.137,-0.104,0.365,-0.004,-0.003,-0.003
11:07:04:322201,0.141,-0.114,0.239,-0.003,-0.004,-0.001
11:07:04:327275,0.142,-0.101,-0.019,-0.002,-0.003,0
11:07:04:332453,0.158,-0.088,-0.098,-0.002,-0.003,0.001
11:07:04:337611,0.196,-0.089,0.049,-0.002,-0.003,0
