Time,FT1,FT2,FT3,FT4,FT5,FT6
10:58:34:393153,0,0,0,0,0,0
10:58:34:398238,0,0,0,0,0,0
10:58:34:403453,0,0,0,0,0,0
10:58:34:408546,0,0,0,0,0,0
10:58:34:413737,0,0,0,0,0,0
10:58:34:418814,0,0,0,0,0,0
10:58:34:423943,0,0,0,0,0,0
10:58:34:429505,0,0,0,0,0,0
10:58:34:434659,0,0,0,0,0,0
10:58:34:439789,0,0,0,0,0,0
10:58:34:445344,0,0,0,0,0,0
10:58:34:450619,0,0,0,0,0,0
10:58:34:456193,0,0,0,0,0,0
10:58:34:461332,0,0,0,0,0,0
10:58:34:466911,0,0,0,0,0,0
10:58:34:471987,0,0,0,0,0,0
10:58:34:477419,0,0,0,0,0,0
10:58:34:482985,0,0,0,0,0,0
10:58:34:488556,0,0,0,0,0,0
10:58:34:493716,0,0,0,0,0,0
10:58:34:498844,0,0,0,0,0,0
10:58:34:503946,0,0,0,0,0,0
10:58:34:509011,0,0,0,0,0,0
10:58:34:514104,0,0,0,0,0,0
10:58:34:519384,0,0,0,0,0,0
10:58:34:524445,0,0,0,0,0,0
10:58:34:529613,0,0,0,0,0,0
10:58:34:534886,0,0,0,0,0,0
10:58:34:540544,0,0,0,0,0,0
10:58:34:546219,0,0,0,0,0,0
10:58:34:551453,0,0,0,0,0,0
10:58:34:556521,0,0,0,0,0,0
10:58:34:561596,0,0,0,0,0,0
10:58:34:566740,0,0,0,0,0,0
10:58:34:571823,0,0,0,0,0,0
10:58:34:577454,0,0,0,0,0,0
10:58:34:582790,0,0,0,0,0,0
10:58:34:588358,0,0,0,0,0,0
10:58:34:593509,0,0,0,0,0,0
10:58:34:598661,0,0,0,0,0,0
10:58:34:603831,0,0,0,0,0,0
10:58:34:609419,0,0,0,0,0,0
10:58:34:614702,0,0,0,0,0,0
10:58:34:620161,0,0,0,0,0,0
10:58:34:625627,0,0,0,0,0,0
10:58:34:631187,0,0,0,0,0,0
10:58:34:636751,0,0,0,0,0,0
10:58:34:641838,0,0,0,0,0,0
10:58:34:647252,0,0,0,0,0,0
10:58:34:652851,0,0,0,0,0,0
10:58:34:658014,0,0,0,0,0,0
10:58:34:663195,0,0,0,0,0,0
10:58:34:668785,0,0,0,0,0,0
10:58:34:673857,0,0,0,0,0,0
10:58:34:679009,0,0,0,0,0,0
10:58:34:684565,0,0,0,0,0,0
10:58:34:690177,0,0,0,0,0,0
10:58:34:695271,0,0,0,0,0,0
10:58:34:700621,0,0,0,0,0,0
10:58:34:706148,0,0,0,0,0,0
10:58:34:711601,0,0,0,0,0,0
10:58:34:716685,0,0,0,0,0,0
10:58:34:722105,0,0,0,0,0,0
10:58:34:727675,0,0,0,0,0,0
10:58:34:733242,0,0,0,0,0,0
10:58:34:738327,0,0,0,0,0,0
10:58:34:743895,0,0,0,0,0,0
10:58:34:749460,0,0,0,0,0,0
10:58:34:754699,0,0,0,0,0,0
10:58:34:760272,0,0,0,0,0,0
10:58:34:765423,0,0,0,0,0,0
10:58:34:770576,0,0,0,0,0,0
10:58:34:775826,0,0,0,0,0,0
10:58:34:781232,0,0,0,0,0,0
10:58:34:786360,0,0,0,0,0,0
10:58:34:791515,0,0,0,0,0,0
10:58:34:796669,0,0,0,0,0,0
10:58:34:801804,0,0,0,0,0,0
10:58:34:806886,0,0,0,0,0,0
10:58:34:812457,0,0,0,0,0,0
10:58:34:817533,-0.076,-0.04,0.217,0,0.001,-0.001
10:58:34:822686,-0.075,-0.054,0.295,0,0,-0.002
10:58:34:827820,-0.051,-0.042,0.186,0,0,-0.001
10:58:34:832969,0.011,0.005,-0.206,0,0,0.002
10:58:34:838122,0.047,0.024,-0.402,0.001,0,0.004
10:58:34:843310,0.031,0,-0.269,0.001,0,0.003
10:58:34:848400,-0.033,-0.061,0.09,0,0,0
10:58:34:853486,-0.064,-0.084,0.207,0,-0.001,-0.001
10:58:34:858655,-0.059,-0.071,0.091,0,0,-0.001
10:58:34:863825,-0.023,-0.042,-0.04,0,0,0
10:58:34:868992,-0.015,-0.041,0.034,0,0,0
10:58:34:874149,-0.04,-0.058,0.279,0,0,-0.002
10:58:34:879314,-0.061,-0.051,0.352,0,0,-0.002
10:58:34:884494,-0.049,0.004,0.202,0,0,0
10:58:34:889647,-0.008,0.044,0.025,0,0.001,0
10:58:34:894819,0.052,0.056,-0.155,0.001,0,0.002
10:58:34:899893,0.055,0.021,-0.204,0.001,0,0.002
10:58:34:905058,0.029,0.002,-0.194,0.002,0,0.001
10:58:34:910178,0.005,-0.003,-0.094,0.001,0,0
10:58:34:915250,0.014,-0.005,0.028,0.001,0,0
10:58:34:920412,0.032,-0.016,0.164,0,0,-0.001
10:58:34:925492,0.021,-0.014,0.087,0.001,0,0
10:58:34:930655,0.009,-0.001,-0.035,0.001,0.001,0
10:58:34:935816,0.017,0.01,-0.112,0.001,0.001,0.001
10:58:34:940914,0.031,0.003,-0.068,0.001,0,0.001
10:58:34:946075,0.024,-0.002,-0.047,0.001,0,0.001
10:58:34:951228,-0.001,0.013,-0.142,0,0,0.002
10:58:34:956298,-0.036,0.046,-0.269,0,0,0.003
10:58:34:961377,-0.034,0.026,-0.072,0,0,0.001
10:58:34:966744,-0.022,-0.014,0.19,0,0,0
10:58:34:971913,-0.016,-0.055,0.411,0,-0.001,-0.002
10:58:34:977069,-0.017,-0.048,0.33,0,-0.001,-0.001
10:58:34:982217,-0.012,-0.023,0.045,0,0,0
10:58:34:987378,-0.01,-0.021,-0.081,0,0,0.001
10:58:34:992544,-0.033,-0.039,-0.087,0,0,0.001
10:58:34:997644,-0.074,-0.05,0.002,0,0,0
10:58:35:2808,-0.082,-0.047,0.046,0,0,0
10:58:35:7972,-0.041,-0.035,0.051,0,0,0
10:58:35:13133,0.002,-0.025,0.015,0,0,0
10:58:35:18296,0.039,-0.01,-0.048,0.001,0,0
10:58:35:23401,0.032,-0.009,-0.057,0.001,0,0
10:58:35:28570,0.008,-0.018,-0.015,0.002,0.001,0
10:58:35:33689,0.016,-0.034,0.024,0.002,0.001,0
10:58:35:38854,0.041,-0.05,0.046,0.002,0.001,0
10:58:35:44022,0.068,-0.086,0.129,0.003,0,0
10:58:35:49183,0.065,-0.106,0.204,0.002,0,0
10:58:35:54297,0.039,-0.108,0.253,0.002,0,-0.001
10:58:35:59377,0.005,-0.098,0.204,0.002,0.001,-0.002
10:58:35:64544,-0.019,-0.104,0.166,0.002,0.001,-0.002
10:58:35:69642,-0.049,-0.124,0.122,0.001,0.001,-0.001
10:58:35:74798,-0.045,-0.127,0.066,0.001,0.001,0
10:58:35:79951,0.007,-0.112,-0.058,0.001,0,0.001
10:58:35:85120,0.05,-0.098,-0.111,0.002,0,0.002
10:58:35:90237,0.062,-0.08,-0.088,0.002,0,0.002
10:58:35:95330,-0.007,-0.065,-0.038,0.002,0,0
10:58:35:100481,-0.068,-0.06,0.005,0.001,0,-0.001
