Time,FT1,FT2,FT3,FT4,FT5,FT6
11:07:17:350972,0,0,0,0,0,0
11:07:17:356039,0,0,0,0,0,0
11:07:17:361660,0,0,0,0,0,0
11:07:17:366742,0,0,0,0,0,0
11:07:17:372354,0,0,0,0,0,0
11:07:17:377941,0,0,0,0,0,0
11:07:17:383092,0,0,0,0,0,0
11:07:17:388660,0,0,0,0,0,0
11:07:17:394120,0,0,0,0,0,0
11:07:17:399638,0,0,0,0,0,0
11:07:17:405010,0,0,0,0,0,0
11:07:17:410582,0,0,0,0,0,0
11:07:17:416174,0,0,0,0,0,0
11:07:17:421759,0,0,0,0,0,0
11:07:17:427053,0,0,0,0,0,0
11:07:17:432437,0,0,0,0,0,0
11:07:17:438070,0,0,0,0,0,0
11:07:17:443529,0,0,0,0,0,0
11:07:17:448666,0,0,0,0,0,0
11:07:17:453755,0,0,0,0,0,0
11:07:17:458837,0,0,0,0,0,0
11:07:17:463916,0,0,0,0,0,0
11:07:17:469033,0,0,0,0,0,0
11:07:17:475356,0,0,0,0,0,0
11:07:17:480460,0,0,0,0,0,0
11:07:17:485522,0,0,0,0,0,0
11:07:17:490581,0,0,0,0,0,0
11:07:17:495679,0,0,0,0,0,0
11:07:17:500777,0,0,0,0,0,0
11:07:17:505836,0,0,0,0,0,0
11:07:17:511389,0,0,0,0,0,0
11:07:17:516672,0,0,0,0,0,0
11:07:17:522206,0,0,0,0,0,0
11:07:17:527303,0,0,0,0,0,0
11:07:17:532492,0,0,0,0,0,0
11:07:17:538170,0,0,0,0,0,0
11:07:17:543761,0,0,0,0,0,0
11:07:17:549028,0,0,0,0,0,0
11:07:17:554186,0,0,0,0,0,0
11:07:17:559341,0,0,0,0,0,0
11:07:17:564505,0,0,0,0,0,0
11:07:17:569684,0,0,0,0,0,0
11:07:17:574841,0,0,0,0,0,0
11:07:17:579991,0,0,0,0,0,0
11:07:17:585135,0,0,0,0,0,0
11:07:17:590216,0,0,0,0,0,0
11:07:17:595665,0,0,0,0,0,0
11:07:17:601286,0,0,0,0,0,0
11:07:17:606397,0,0,0,0,0,0
11:07:17:611991,0,0,0,0,0,0
11:07:17:617618,0,0,0,0,0,0
11:07:17:622790,0,0,0,0,0,0
11:07:17:628421,0,0,0,0,0,0
11:07:17:634055,0,0,0,0,0,0
11:07:17:639691,0,0,0,0,0,0
11:07:17:644792,0,0,0,0,0,0
11:07:17:649964,0,0,0,0,0,0
11:07:17:655451,0,0,0,0,0,0
11:07:17:661069,0,0,0,0,0,0
11:07:17:666248,0,0,0,0,0,0
11:07:17:671817,0,0,0,0,0,0
11:07:17:677413,0,0,0,0,0,0
11:07:17:682525,0,0,0,0,0,0
11:07:17:688064,0,0,0,0,0,0
11:07:17:693657,0,0,0,0,0,0
11:07:17:699100,0,0,0,0,0,0
11:07:17:704247,0,0,0,0,0,0
11:07:17:709721,0,0,0,0,0,0
11:07:17:715002,0,0,0,0,0,0
11:07:17:720522,0,0,0,0,0,0
11:07:17:726109,0,0,0,0,0,0
11:07:17:731240,0,0,0,0,0,0
11:07:17:736810,0,0,0,0,0,0
11:07:17:741915,0,0,0,0,0,0
11:07:17:747039,0,0,0,0,0,0
11:07:17:752192,0,0,0,0,0,0
11:07:17:757340,0,0,0,0,0,0
11:07:17:762466,0,0,0,0,0,0
11:07:17:767624,0,0,0,0,0,0
11:07:17:772759,0,0,0,0,0,0
11:07:17:777831,0.03,0.045,0.077,0.001,0,0
11:07:17:782982,0.017,0.06,0.094,0.001,0.001,0
11:07:17:788263,0.015,0.093,-0.003,0.001,0.001,0
11:07:17:793349,0.042,0.146,-0.403,0.002,0.001,0.004
11:07:17:798501,0.046,0.136,-0.477,0.002,0.001,0.005
11:07:17:803651,0.028,0.078,-0.255,0.002,0,0.002
11:07:17:808801,0.018,0.035,0,0.002,0,0
11:07:17:813869,0.032,0.002,0.233,0.001,-0.001,-0.001
11:07:17:819034,0.06,0.006,0.143,0.001,-0.001,0
11:07:17:824117,0.066,0.016,-0.018,0.001,0,0.001
11:07:17:829201,0.051,0.028,-0.234,0,0,0.002
11:07:17:834373,0.035,0.028,-0.296,0,0,0.003
11:07:17:839503,0.02,0.018,-0.278,0,0,0.002
11:07:17:844668,0.004,-0.017,-0.124,0,0,0.001
11:07:17:849951,0,-0.042,0.018,-0.001,0,0
11:07:17:855386,-0.002,-0.061,0.179,-0.001,0.001,0
11:07:17:860776,-0.003,-0.047,0.161,-0.001,0.001,0
11:07:17:865853,-0.008,-0.012,-0.042,-0.001,0.001,0
11:07:17:871386,-0.014,0.008,-0.206,-0.001,0.001,0.001
11:07:17:876564,-0.024,0.021,-0.352,0,0.001,0.002
11:07:17:881714,-0.021,0.007,-0.34,0,0.001,0.002
11:07:17:886883,0.001,-0.009,-0.285,0,0.001,0.002
11:07:17:892056,0.047,-0.029,-0.172,0,0,0.001
11:07:17:897152,0.048,-0.037,-0.029,0,0,0
11:07:17:902310,0.015,-0.036,0.052,0,0,-0.001
11:07:17:907400,-0.03,-0.027,0.088,-0.001,0.001,-0.001
11:07:17:912796,-0.036,-0.02,0.041,-0.001,0.002,-0.001
11:07:17:917896,-0.028,-0.005,-0.116,0,0.001,0
11:07:17:923038,-0.028,0.009,-0.254,0,0.001,0.001
11:07:17:928115,-0.033,0.034,-0.406,0,0,0.002
11:07:17:933205,-0.016,0.039,-0.338,0,0,0.002
11:07:17:938377,0.003,0.024,-0.181,0,0,0.001
11:07:17:943460,0.03,-0.008,0.002,0,0,0
11:07:17:948622,0.048,-0.022,-0.017,0,0,0.001
11:07:17:953786,0.065,-0.019,-0.17,0.001,-0.001,0.002
11:07:17:958962,0.057,-0.011,-0.197,0.001,0,0.002
11:07:17:964123,0.017,-0.01,-0.008,0,0,0
