Time,FT1,FT2,FT3,FT4,FT5,FT6
11:00:31:3524,0,0,0,0,0,0
11:00:31:8607,0,0,0,0,0,0
11:00:31:13696,0,0,0,0,0,0
11:00:31:18843,0,0,0,0,0,0
11:00:31:24154,0,0,0,0,0,0
11:00:31:29306,0,0,0,0,0,0
11:00:31:34384,0,0,0,0,0,0
11:00:31:39506,0,0,0,0,0,0
11:00:31:45072,0,0,0,0,0,0
11:00:31:50222,0,0,0,0,0,0
11:00:31:55734,0,0,0,0,0,0
11:00:31:61298,0,0,0,0,0,0
11:00:31:66555,0,0,0,0,0,0
11:00:31:71655,0,0,0,0,0,0
11:00:31:77221,0,0,0,0,0,0
11:00:31:82786,0,0,0,0,0,0
11:00:31:88351,0,0,0,0,0,0
11:00:31:93915,0,0,0,0,0,0
11:00:31:99484,0,0,0,0,0,0
11:00:31:104816,0,0,0,0,0,0
11:00:31:109887,0,0,0,0,0,0
11:00:31:115009,0,0,0,0,0,0
11:00:31:120130,0,0,0,0,0,0
11:00:31:125389,0,0,0,0,0,0
11:00:31:130471,0,0,0,0,0,0
11:00:31:135554,0,0,0,0,0,0
11:00:31:140668,0,0,0,0,0,0
11:00:31:145735,0,0,0,0,0,0
11:00:31:150826,0,0,0,0,0,0
11:00:31:155921,0,0,0,0,0,0
11:00:31:161141,0,0,0,0,0,0
11:00:31:166230,0,0,0,0,0,0
11:00:31:171745,0,0,0,0,0,0
11:00:31:176993,0,0,0,0,0,0
11:00:31:182198,0,0,0,0,0,0
11:00:31:187826,0,0,0,0,0,0
11:00:31:193024,0,0,0,0,0,0
11:00:31:198604,0,0,0,0,0,0
11:00:31:204198,0,0,0,0,0,0
11:00:31:209802,0,0,0,0,0,0
11:00:31:214886,0,0,0,0,0,0
11:00:31:219993,0,0,0,0,0,0
11:00:31:225119,0,0,0,0,0,0
11:00:31:230275,0,0,0,0,0,0
11:00:31:235369,0,0,0,0,0,0
11:00:31:240494,0,0,0,0,0,0
11:00:31:245630,0,0,0,0,0,0
11:00:31:250786,0,0,0,0,0,0
11:00:31:256046,0,0,0,0,0,0
11:00:31:261161,-0.009,-0.079,0.154,0,0.001,-0.001
11:00:31:266312,0.007,-0.007,-0.033,0.001,0,0
11:00:31:271563,0.013,0.054,-0.226,0.001,0,0.001
11:00:31:276717,0.013,0.053,-0.2,0,0,0.001
11:00:31:281889,0.022,0.003,0.002,0,0,0
11:00:31:286972,0.039,-0.017,0.043,0,-0.001,0
11:00:31:292144,0.073,0.003,-0.158,0.001,-0.002,0.003
11:00:31:297423,0.097,0.036,-0.352,0.001,-0.001,0.004
11:00:31:302925,0.104,0.039,-0.319,0.001,-0.001,0.003
11:00:31:308287,0.098,0.027,-0.129,0,-0.001,0.001
11:00:31:313443,0.075,0.029,-0.013,0,0,0
11:00:31:318613,0.053,0.034,0.002,0,0,0
11:00:31:323781,0.029,0.028,0.028,0,0.001,0.001
11:00:31:329172,0.029,0.015,0.056,0,0.001,0
11:00:31:334246,0.05,0.008,0.042,0,0.001,0
11:00:31:339415,0.072,0.023,-0.038,0,0.001,0
11:00:31:344578,0.073,0.033,-0.057,0,0.001,0
11:00:31:349696,0.054,0.031,0.047,0,0,0
11:00:31:354865,0.032,0.019,0.161,0,0,0
11:00:31:360032,0.005,0.002,0.238,0,0,-0.001
11:00:31:365179,-0.006,0,0.161,0,0,0
11:00:31:370335,-0.008,0.003,0.105,0,0,0
11:00:31:375499,-0.005,0.002,0.101,0,0,0
11:00:31:380663,0.005,0,0.114,0,0,0
11:00:31:385738,0.028,0.007,0.064,0,-0.001,0
