Time,FT1,FT2,FT3,FT4,FT5,FT6
11:00:14:836406,-0.07,-0.177,0.546,0.001,-0.001,-0.004
11:00:14:841577,-0.055,-0.181,0.574,0.001,-0.001,-0.004
11:00:14:846734,-0.014,-0.174,0.444,0.001,-0.001,-0.003
11:00:14:851896,-0.004,-0.162,0.341,0.001,-0.001,-0.002
11:00:14:857057,-0.03,-0.134,0.25,0.001,-0.001,-0.001
11:00:14:862184,-0.054,-0.119,0.245,0.001,0,-0.001
11:00:14:867325,-0.065,-0.113,0.277,0.001,0,-0.001
11:00:14:872492,-0.053,-0.115,0.273,0.001,0.001,-0.002
11:00:14:877624,-0.02,-0.113,0.163,0.001,0.001,-0.001
11:00:14:882700,0.008,-0.095,-0.011,0.001,0.001,0
11:00:14:887866,0.013,-0.079,-0.081,0.001,0.001,0
11:00:14:892947,-0.006,-0.061,-0.05,0.001,0,0
11:00:14:898112,-0.03,-0.057,0.03,0.001,0,0
11:00:14:903258,-0.05,-0.06,0.139,0,0,-0.001
11:00:14:908426,-0.042,-0.059,0.164,0.001,0,-0.002
11:00:14:913613,-0.009,-0.05,0.119,0.001,0,-0.002
11:00:14:918685,0.02,-0.044,0.009,0.001,0,-0.001
11:00:14:923855,0.035,-0.042,-0.078,0.001,0,0
11:00:14:928926,0.068,-0.029,-0.22,0.001,0,0.001
11:00:14:934098,0.097,-0.008,-0.308,0.001,0,0.002
11:00:14:939238,0.119,0.021,-0.359,0,0.001,0.003
11:00:14:944337,0.103,0.017,-0.291,0,0.001,0.002
11:00:14:949505,0.044,-0.024,-0.078,0,0.001,0
11:00:14:954597,0.013,-0.05,0.034,0,0,-0.001
11:00:14:959682,0.014,-0.04,0.02,0,0,-0.001
11:00:14:964893,0.039,-0.002,-0.081,0,0,0
11:00:14:970068,0.056,0.051,-0.19,0,0,0
11:00:14:975218,0.02,0.062,-0.125,0,0,0
11:00:14:980373,-0.012,0.051,-0.026,0,0,-0.001
11:00:14:985543,-0.03,0.031,0.084,0,0,-0.002
11:00:14:990741,-0.027,0.021,0.108,0,-0.001,-0.002
11:00:14:995890,-0.042,0.007,0.082,-0.001,0,-0.002
11:00:15:960,-0.077,0.009,-0.002,-0.002,0,-0.001
11:00:15:6135,-0.073,0.021,-0.085,-0.002,0,-0.001
11:00:15:11312,-0.013,0.034,-0.181,-0.001,0,0
11:00:15:16532,0.025,0.024,-0.164,0,0,0
11:00:15:21694,0.01,-0.004,-0.001,0,0,0
11:00:15:26844,-0.077,-0.007,0.174,0,0.001,-0.003
11:00:15:32017,-0.121,0.009,0.201,-0.001,0.002,-0.004
11:00:15:37091,-0.107,0.021,0.109,-0.001,0.002,-0.003
11:00:15:42256,-0.058,0.001,0.024,0,0.001,-0.003
11:00:15:47427,0.009,-0.044,-0.08,0,0,-0.001
11:00:15:52603,0.027,-0.056,-0.142,0,0,-0.001
