Time,FT1,FT2,FT3,FT4,FT5,FT6
11:07:48:802465,0,0,0,0,0,0
11:07:48:808013,0,0,0,0,0,0
11:07:48:813560,0,0,0,0,0,0
11:07:48:818710,0,0,0,0,0,0
11:07:48:823861,0,0,0,0,0,0
11:07:48:829419,0,0,0,0,0,0
11:07:48:834569,0,0,0,0,0,0
11:07:48:839888,0,0,0,0,0,0
11:07:48:845457,0,0,0,0,0,0
11:07:48:851022,0,0,0,0,0,0
11:07:48:856466,0,0,0,0,0,0
11:07:48:862093,0,0,0,0,0,0
11:07:48:867689,0,0,0,0,0,0
11:07:48:873285,0,0,0,0,0,0
11:07:48:878447,0,0,0,0,0,0
11:07:48:883872,0,0,0,0,0,0
11:07:48:889499,0,0,0,0,0,0
11:07:48:894671,0,0,0,0,0,0
11:07:48:899800,0,0,0,0,0,0
11:07:48:904883,0,0,0,0,0,0
11:07:48:909984,0,0,0,0,0,0
11:07:48:915049,0,0,0,0,0,0
11:07:48:920152,0,0,0,0,0,0
11:07:48:925240,0,0,0,0,0,0
11:07:48:930506,0,0,0,0,0,0
11:07:48:935579,0,0,0,0,0,0
11:07:48:940874,0,0,0,0,0,0
11:07:48:945932,0,0,0,0,0,0
11:07:48:951208,0,0,0,0,0,0
11:07:48:956304,0,0,0,0,0,0
11:07:48:961533,0,0,0,0,0,0
11:07:48:966737,0,0,0,0,0,0
11:07:48:971841,0,0,0,0,0,0
11:07:48:977425,0,0,0,0,0,0
11:07:48:982494,0,0,0,0,0,0
11:07:48:987590,0,0,0,0,0,0
11:07:48:992741,0,0,0,0,0,0
11:07:48:997916,0,0,0,0,0,0
11:07:49:3078,0,0,0,0,0,0
11:07:49:8665,0,0,0,0,0,0
11:07:49:13832,0,0,0,0,0,0
11:07:49:19460,0,0,0,0,0,0
11:07:49:24629,0,0,0,0,0,0
11:07:49:29780,0,0,0,0,0,0
11:07:49:34874,0,0,0,0,0,0
11:07:49:40318,0,0,0,0,0,0
11:07:49:45936,0,0,0,0,0,0
11:07:49:51049,0,0,0,0,0,0
11:07:49:56667,0,0,0,0,0,0
11:07:49:62302,0,0,0,0,0,0
11:07:49:67884,0,0,0,0,0,0
11:07:49:73495,0,0,0,0,0,0
11:07:49:78673,0,0,0,0,0,0
11:07:49:83844,0,0,0,0,0,0
11:07:49:89017,0,0,0,0,0,0
11:07:49:94178,0,0,0,0,0,0
11:07:49:99767,0,0,0,0,0,0
11:07:49:105189,0,0,0,0,0,0
11:07:49:110668,0,0,0,0,0,0
11:07:49:116300,0,0,0,0,0,0
11:07:49:121883,0,0,0,0,0,0
11:07:49:127374,0,0,0,0,0,0
11:07:49:132556,0,0,0,0,0,0
11:07:49:138159,0,0,0,0,0,0
11:07:49:143683,0,0,0,0,0,0
11:07:49:149164,0,0,0,0,0,0
11:07:49:154370,0,0,0,0,0,0
11:07:49:159868,0,0,0,0,0,0
11:07:49:165498,0,0,0,0,0,0
11:07:49:170682,0,0,0,0,0,0
11:07:49:176054,0,0,0,0,0,0
11:07:49:181643,0,0,0,0,0,0
11:07:49:187205,0,0,0,0,0,0
11:07:49:192378,0,0,0,0,0,0
11:07:49:197955,0,0,0,0,0,0
11:07:49:203044,0,0,0,0,0,0
11:07:49:208196,0,0,0,0,0,0
11:07:49:213288,0,0,0,0,0,0
11:07:49:218443,0,0,0,0,0,0
11:07:49:223589,0,0,0,0,0,0
11:07:49:229161,0,0,0,0,0,0
11:07:49:234429,0,0,0,0,0,0
11:07:49:239825,0.024,0.018,0.241,0.002,-0.002,0
11:07:49:244904,0.006,0.009,0.24,0.003,-0.002,0
11:07:49:250005,0,0.024,0.133,0.002,-0.001,0
11:07:49:255155,-0.028,0.065,-0.011,0.002,0,0
11:07:49:260287,-0.057,0.08,0.042,0.002,0,0
11:07:49:265434,-0.058,0.068,0.138,0.002,-0.001,0
11:07:49:270761,-0.033,0.053,0.165,0.002,-0.001,0
11:07:49:275845,-0.002,0.069,0.01,0.002,0,0.001
11:07:49:281012,0.006,0.086,-0.093,0.002,0,0.002
11:07:49:286169,-0.009,0.085,-0.128,0.002,0.001,0.002
11:07:49:291254,-0.04,0.06,-0.081,0.002,0.002,0.002
11:07:49:296434,-0.094,0.007,0.034,0.001,0.003,0
11:07:49:301526,-0.122,-0.022,0.155,0.001,0.003,0
11:07:49:306696,-0.123,-0.012,0.21,0.001,0.003,0
11:07:49:311782,-0.129,0.025,0.22,0.001,0.003,-0.001
11:07:49:316951,-0.142,0.042,0.179,0,0.004,-0.001
11:07:49:322233,-0.15,0.043,0.106,0,0.004,-0.001
11:07:49:327378,-0.09,0.028,-0.128,0,0.003,0.001
11:07:49:332540,-0.038,0.029,-0.25,0.001,0.002,0.002
11:07:49:337616,0.003,0.029,-0.323,0.001,0.001,0.003
11:07:49:342788,-0.007,0.017,-0.262,0,0,0.002
11:07:49:347861,-0.055,-0.019,-0.033,-0.001,0,0
11:07:49:353029,-0.086,-0.052,0.17,-0.002,0,-0.001
11:07:49:358109,-0.107,-0.109,0.445,-0.002,0,-0.003
11:07:49:363277,-0.088,-0.154,0.509,-0.002,0,-0.002
11:07:49:368450,-0.056,-0.155,0.367,-0.002,0,-0.001
11:07:49:373525,0.005,-0.093,-0.031,-0.001,-0.001,0.001
11:07:49:378636,0.041,-0.029,-0.27,-0.001,-0.001,0.004
11:07:49:383829,0.071,0.03,-0.352,0,0,0.005
11:07:49:388997,0.073,0.023,-0.225,0,0,0.005
11:07:49:394153,0.049,-0.022,-0.002,0,0,0.003
11:07:49:399358,0.008,-0.037,-0.005,0,0,0.001
11:07:49:404525,-0.016,-0.025,-0.113,0.001,0,0.001
11:07:49:409602,-0.034,-0.015,-0.205,0.001,0,0.002
11:07:49:414772,-0.045,-0.019,-0.18,0.001,0,0.002
11:07:49:419843,-0.033,-0.028,-0.033,0,0,0.001
11:07:49:424961,-0.013,-0.025,0.027,0,0,0
11:07:49:430111,0.003,-0.023,0.024,0,0,0
11:07:49:435274,-0.016,-0.036,0.026,-0.001,0,-0.001
11:07:49:440450,-0.097,-0.069,0.127,-0.003,0.002,-0.002
11:07:49:445526,-0.154,-0.087,0.22,-0.004,0.002,-0.003
11:07:49:450694,-0.175,-0.098,0.255,-0.004,0.002,-0.003
11:07:49:455768,-0.118,-0.097,0.138,-0.003,0.001,-0.001
11:07:49:460933,-0.075,-0.09,0.056,-0.002,0,0
11:07:49:466103,-0.053,-0.059,0.01,-0.002,0.001,0
11:07:49:471185,-0.063,-0.027,0.008,-0.002,0.001,0
11:07:49:476379,-0.073,-0.002,0.005,-0.002,0.002,0
11:07:49:481550,-0.068,-0.005,0,-0.001,0.001,0
11:07:49:486711,-0.041,-0.037,0.007,0,0,0.001
